PK,NOMBRE,COMEDOR,HORARIO AMPLIADO,PLANES DE MEJORA,INTEGRACION,TRANSPORTE,BUS,METRO,RENFE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,DIRECCION,CLASE-VIAL,NOMBRE-VIA,TIPO-NUM,NUM,LOCALIDAD,sameAs_LOCALIDAD,PROVINCIA,sameAs_PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,sameAs_BARRIO,COD-DISTRITO,DISTRITO,sameAs_DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO
176850,Colegio Público Adolfo Suárez,1,1,1,No mencionado,-BUS: 174,BUS: 174,,,ENSEÑANZAS: Segundo ciclo de E. Infantil - Primaria - Educación Secundaria Obligatoria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a9344b6faa61c010VgnVCM1000000b205a0aRCRD,CALLE-INFANTA_CATALINA_MICAELA-NUM-31,CALLE,INFANTA CATALINA MICAELA,NUM,31,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28050,6,Valdefuentes,https://www.wikidata.org/wiki/Q10388714,16,Hortaleza,https://www.wikidata.org/wiki/Q1928529,444807,4482402,40.48860266655876,-3.6525544243312855,917 502 058 - 676 562 792,917 502 058,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5075,Colegio Público Agustina Díez,1,1,No mencionado,No mencionado,-METRO: Alto del Arenal -BUS: 54  58  103  143,BUS: 54  58  103  143,METRO: Alto del Arenal,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dd68a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-VESUBIO-NUM-5,CALLE,VESUBIO,NUM,5,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28038,5,Portazgo,https://www.wikidata.org/wiki/Q18005921,13,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,445067,4471046,40.3881909372302,-3.647236724917086,917 770 073,917 770 073,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
4693138,Colegio Público Agustín Rodriguez Sahagún,1,1,1,No mencionado,-BUS: 142,BUS: 142,,,ENSEÑANZA: Educación Infantil - Primaria - Enseñanza bilingüe,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=706c615f4eb66110VgnVCM1000000b205a0aRCRD,CALLE-LA_GRANJA_DE_SAN_ILDEFONSO-V-17,CALLE,LA GRANJA DE SAN ILDEFONSO,V,17,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28031,1,Casco Histórico de Vallecas,https://www.wikidata.org/wiki/Q16544370,18,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,447178,4468793,40.36803998494376,-3.6221677428793977,913 324 348,914 941 475,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5076,Colegio Público Alberto Alcocer,1,1,1,No mencionado,-METRO: Las Musas -BUS: 38  48  140 153,BUS: 38  48  140 153,METRO: Las Musas,,ENSEÑANZA: Educación Infantil - Primaria - Enseñanza bilingüe,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2388a3f5ca71c010VgnVCM1000000b205a0aRCRD,AVENIDA-CANILLEJAS_A_VICALVARO-NUM-56,AVENIDA,CANILLEJAS A VICALVARO,NUM,56,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28022,2,Hellín,https://www.wikidata.org/wiki/Q10294546,20,San Blas,https://www.wikidata.org/wiki/Q2001937,448087,4476035,40.43333782278732,-3.6120521748962555,913 202 609,913 200 446,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5077,Colegio Público Alcalde de Móstoles,1,1,1,No mencionado,-BUS: 34  39  139  117  17,BUS: 34  39  139  117  17,,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7898a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-ALDEANUEVA_DE_LA_VERA-V-9,CALLE,ALDEANUEVA DE LA VERA,V,9,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28044,7,Las Águilas,https://www.wikidata.org/wiki/Q5971372,10,Latina,https://www.wikidata.org/wiki/Q794954,434091,4470207,40.37983690289588,-3.7764479299262628,917 055 465,915 095 129,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5078,Colegio Público Alfonso X El Sabio,1,1,1,No mencionado,-METRO: San Cipriano -BUS: 4 71 100 106 E-3,BUS: 4 71 100 106 E-3,METRO: San Cipriano,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cda8a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-FUENTE_DE_SAN_PEDRO-V-6,CALLE,FUENTE DE SAN PEDRO,V,6,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28032,1,Casco Histórico de Vicálvaro,https://www.wikidata.org/wiki/Q16544374,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,448774,4472685,40.403201384467415,-3.6036948781029365,913 719 661,917 765 962,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
10770379,Colegio Público Alfredo di Stefano,No mencionado,No mencionado,No mencionado,No mencionado,-BUS: 171 174,BUS: 171 174,,,ENSEÑANZA: Educación Infantil - Primaria - Enseñanza bilingüe,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=32c2f9dd06e95610VgnVCM1000001d4a900aRCRD,calle-felix_candela-NUM-4,calle,felix candela,NUM,4,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28022,,Hellín,https://www.wikidata.org/wiki/Q10294546,,Hortaleza,https://www.wikidata.org/wiki/Q1928529,448087,4476035,40.43333782278732,-3.6120521748962555,660 906 527,No mencionado,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5079,Colegio Público Alhambra,1,1,1,No mencionado,-METRO: Lacoma -BUS: 49  67  82,BUS: 49  67  82,METRO: Lacoma,,ENSEÑANZA: Educación Infantil - Primaria - Enseñanza bilingüe,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13c8a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-RAMON_GOMEZ_DE_LA_SERNA-NUM-103,CALLE,RAMON GOMEZ DE LA SERNA,NUM,103,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28035,3,Peñagrande,https://www.wikidata.org/wiki/Q3319582,8,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,438407,4481677,40.48349348726197,-3.726718327962491,913 162 273,913 737 021,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5080,Colegio Público Amadeo Vives,1,1,1,Trastornos generales del desarrollo,-BUS: 25  31  138,BUS: 25  31  138,,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=68d8a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-LOS_YEBENES-V-6,CALLE,LOS YEBENES,V,6,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28047,4,Aluche,https://www.wikidata.org/wiki/Q31140,10,Latina,https://www.wikidata.org/wiki/Q794954,436005,4472352,40.39743593771221,-3.755392529137971,917 183 389,917 199 055,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5081,Colegio Público Amador de los Ríos,1,No mencionado,1,No mencionado,-METRO: Manuel Becerra  -BUS: 12  2  56  71  143 156 C2,BUS: 12  2  56  71  143 156 C2,METRO: Manuel Becerra,,ENSEÑANZA: Educación Infantil - Primaria - Enseñanza bilingüe,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bde8a3f5ca71c010VgnVCM1000000b205a0aRCRD,PASEO-MARQUES_DE_ZAFRA-V-16,PASEO,MARQUES DE ZAFRA,V,16,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28028,3,Fuente del Berro,https://www.wikidata.org/wiki/Q3814564,4,Salamanca,https://www.wikidata.org/wiki/Q1773521,443459,4475286,40.426279629183625,-3.6665578263940595,917 252 610,917 261 891,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
