TIPO_DATO;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CENTRO;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;HORARIO;OBSERVACIONES;;;;
punto limpio de proximidad;Plaza  Don Antonio de Andrés, 15 ;;Vía Pública (Junta Municipal de Distrito de Vicalvaro);Plaza;;Don Antonio de Andrés;número;15;19;Vicálvaro;448613,49;4472588,75;40,40232353;-3,605566776;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Bulevar  Indalecio Prieto, 21 ;; Centro Cultural Valdebernardo - Biblioteca Francisco Ayala;Bulevar;;Indalecio Prieto;número;21;19;Vicálvaro;447278,9;4472321,58;40,44715105;-3,668199569;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Ladera de los Almentdros, 2 ;;Centro Deportivo Municipal  Faustina Valladolid;Calle;;Ladera de los Almentdros;número;2;19;Vicálvaro;447145,03;4472806,51;40,40419333;-3,622889039;De lunes a domingo, de 9 a 20:30 horas. Cerrado festivos, y fines de semana del mes agosto Los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Fuentidueña, 6 ;;Centro Deportivo Municipal  Miguel Guillen Prim;Calle;;Fuentidueña;número;6;18;Villa de Vallecas;447099,98;4469435,96;40,37382633;-3,623139994;Lunes a viernes, de 9 a 21 horas. •Sábados, domingos y festivos. Cerrado Mes agosto y durante los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.   ;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Puerto de Reinosa, 2 ;;Instalación Deportiva Básica Virgen de la Torre *;Calle;;Puerto de Reinosa;número;2;18;Villa de Vallecas;447619,64;4469935,59;40,37836;-3,61706;Lunes a Viernes 17:00 a 21:00. Sábados y Domingos 9:00 a 18:00.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Rayo Vallecano de Madrid, 2 ;;Ciudad Deportiva Rayo Vallecano;Calle;;Rayo Vallecano de Madrid;número;2;18;Villa de Vallecas;448050,5;4469738,79;40,37661422;-3,61196856;De lunes a viernes, de 8 a 23 horas. Sábados, de 9 a 22 horas. Domingos y festivos, de 9 a 15 horas. ;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Alianza, 4 ;;Centro Deportivo Municipal  Felix Rubio;Calle;;Alianza;número;4;17;Villaverde;441281,42;4467659,93;40,3574371;-3,691512163;Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro. Cerrado mes de agosto y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Benimamet, 137 ;;Vía Pública (CD Raul Gonzalez);Calle;;Benimamet;número;137;17;Villaverde;441882,48;4466411,18;40,34622983;-3,684320399;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Acceso  Colonia Marconi, 4 ;;Centro Cultural Marconi;Acceso;;Colonia Marconi;número;4;17;Villaverde;440472,62;4465148,6;40,33475635;-3,700802306;lunes a jueves de 9:30 a 13:30 y de 16:30 a 19:30 y viernes de 9:30 a 13:30 horas.  Durante el mes de  julio el horario será de 9 a 14 horas, de lunes a viernes.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  Los Rosales, 133 ;; Centro Cultural  Los Rosales;Avenida;;Los Rosales;número;133;17;Villaverde;442482,98;4466908,64;40,35075287;-3,677294949;lunes a jueves de 9:30 a 13:30 y de 17 a 19 y viernes de 9:30 a 13:30 horas.  Durante el mes de julio el horario será de 9 a 14 horas.;www.madrid.es/puntoslimpios;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
