TIPO_DATO;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CENTRO;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;HORARIO;OBSERVACIONES;;;;
punto limpio de proximidad;Calle  Canarias, 17 ;;Centro Dotacional Integral de Arganzuela.;Calle;;Canarias;número;17;02;Arganzuela;440979,75;4472617,96;40,402921;-3,695619;Lunes a Sabado 9:00 a 21:00. Agosto cerrado;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Paseo  de la Chopera, 10 ;;Junta Municipal de Distrito de Arganzuela. Casa del Reloj;Paseo;;de la Chopera;número;10;02;Arganzuela;440716,19;4471658,16;40,39402;-3,69909;Lunes a Viernes 9:00 a 14:00;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Paseo  Imperial, 20 ;;Centro Deportivo Municipal  Marqués de Samaranch;Paseo;;Imperial;número;20;02;Arganzuela;439132,79;4473248,47;40,40762753;-3,717347972;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  Logroño, 179 ;; Centro Cultural Gloria Fuertes;Avenida;;Logroño;número;179;21;Barajas;449666,56;4479054,1;40,4606319;-3,593669444;De lunes a viernes, de 9 a 14 y de 17 a 19 horas.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Medina De Pomar, 1 esquina Calle Salinas del Rosio;esquina Calle Salinas del Rosio;Vía Pública;Calle;;Medina De Pomar;número;1;21;Barajas;450425,9;4477949,72;40,45072861;-3,584627438;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Plaza  Navío, 4 ;;Centro Integrado Teresa de Calcuta;Plaza;;Navío;número;4;21;Barajas;450174,67;4478461,15;40,45532087;-3,58763018;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Catorce Olivas, 1 ;;CDM Francisco Fernández Ochoa;Calle;;Catorce Olivas;número;1;11;Carabanchel;437098,04;4468624,91;40,36582519;-3,740870032;De lunes a viernes: de 8 a 21,30 horas.     Sábados, domingos y festivos: de 9 a 20 horas.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Monseñor Oscar Romero, 41 ;;Centro Deportivo Municipal La Mina *;Calle;;Monseñor Oscar Romero;número;41;11;Carabanchel;436628,76;4470466,57;40,38238;-3,74658;Lunes a Viernes 9:00 a 20:30. Sábados y Domingos  9:00 a 14:30.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  Peseta, 59 esquina Calle Salvador Allende;esquina Calle Salvador Allende;Vía Pública (Metro La Peseta);Avenida;;Peseta;número;59;11;Carabanchel;435636,57;4468290,49;40,36270104;-3,758048314;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Alameda, 12 esquina Calle Gobernador;esquina Calle Gobernador; Vía Pública*;Calle;;Alameda;número;12;01;Centro;441121,89;4473668,78;40,41155695;-3,693946066;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Casino, 3 ;;Parque Casino de la Reina *;Calle;;Casino;número;3;01;Centro;440177,22;4473143,78;40,40676;-3,70503;Lunes a Viernes 8:30 a 21:30. Sábados 10:00 a 15:00 y de 16:00 a 21:30.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Paseo  Ciudad de Plasencia, s/n (fla 17);(fla 17);Parque Atenas;Paseo;;Ciudad de Plasencia;número;s/n;01;Centro;438994,2419;4474054,56;40,414879;-3,719058;Todos los días, 24 horas.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  Gran Vía de San Francisco, 21 frente, esquina Calle Calatrava;frente, esquina Calle Calatrava;Via publica (Frente al Parque Dalieda de San Francisco);Avenida;;Gran Vía de San Francisco;número;21;01;Centro;439426,2556;4473509,455;40,410000;-3,713914444;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Plaza  Santa Barbara , 4 frente;frente;;Plaza;;Santa Barbara ;número;4;01;Centro;440964,75;4475442,38;40,42752;-3,69596;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Padre Damián, 26 ;;Instalación Deportiva Municipal Básica Padre Damián ;Calle;;Padre Damián;número;26;05;Chamartín;441827,77;4478668,02;40,45664212;-3,686084624;De lunes a viernes, de 9:00 a 22:00 horas. Sábados y domingos, de 9:00 a 21:00 horas;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  Pio XII, 2 ;;Centro Deportivo Municipal  Chamartin;Avenida;;Pio XII;número;2;5;Chamartín;442666,41;4479162;40,4611504;-3,676238962;Lunes a viernes de 7 a 22,45 horas, sábados de 8 a 20,45 horas, domingos y festivos de 8 a 14,45 horas. Cerrado Días 25 de diciembre, 1 de enero y 1 de mayo.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Pradillo, 33 ;;Centro Deportivo Municipal  de Pradillo;Calle;;Pradillo;número;33;05;Chamartín;443048,99;4477822,76;40,44911221;-3,67160666;  lunes a viernes: de 8,45 a 20,30 horas. •Sábados y domingos: de 8,45 a 14,15 horas. Festivos y días 24 y 31 de diciembre;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Alonso Cano, 10 ;; Mercado Municipal Chamberí;Calle;;Alonso Cano;número;10;07;Chamberí;440810,57;4476411,93;40,43624646;-3,69787042;De lunes a viernes de 9:30 a 14:30 y de 17:30 a 20:30 horas. Sábado de 9:30 a 14:30 horas.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Galileo, 39 ;;Centro Cultural Galileo *;Calle;;Galileo;número;39;07;Chamberí;439737,14;4476140,05;40,43372;-3,7105;Lunes a Viernes 8:30 a 21:30. Sábados y Domingos 9:30 a 20:30. Cerrado temporalmente del 15 de junio  y el 22 de septiembre 2022.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Santander, 2 ;; Polideportivo Vallerhermoso;Calle;;Santander;número;2;07;Chamberí;439838,4;4477151,83;40,44692094;-3,66607964;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  Daroca, 54 A ;; CMM Manuel Alexandre;Avenida;;Daroca;número;54 A;15;Ciudad Lineal;445808,41;4475668,26;40,42988774;-3,638883829;"Invierno: de 9 a 21 horas;  Verano: de 9 a 21 horas";www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Francisco Rioja, 10 ;;Centro Deportivo Municipal  Pueblo Nuevo;Calle;;Francisco Rioja;número;10;15;Ciudad Lineal;448329,56;4477170,1;40,44357766;-3,609284853;De lunes a viernes, de 9 a 20:30 horas (de septiembre a julio). Cerrado Festivos;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Jose del Hierro, 5 ;;Centro Deportivo Municipal  Concepción;Calle;;Jose del Hierro;número;5;15;Ciudad Lineal;445003,98;4476493,24;40,43726682;-3,648438355;De lunes a viernes, de 8:30 a 14:30 y de 14:45 a 21:00 horas. Sábados, domingos y festivos: de 8:30 a 15:00 horas. Cerrado Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Brunete, 1 ;; Instalación Deportiva Municipal Básica Brunete;Calle;;Brunete;número;1;08;Fuencarral-El Pardo;434449,09;4485392,88;40,51667191;-3,77379729;Todos los días de 9:00 a 22 horas ;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  Camino De Santiago, 25 ;; Padel y Ténis las Tablas;Avenida;;Camino De Santiago;número;25;08;Fuencarral-El Pardo;442884,93;4483775,52;40,502726;-3,674077339;lunes a domingo: de 9:00 a 22:00 ;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  Monforte de  Lemos, 13 ;;Centro Deportivo Municipal  Vicente del Bosque;Avenida;;Monforte de  Lemos;número;13;08;Fuencarral-El Pardo;441216,13;4481146,42;40,47892553;-3,693527449;  lunes a domingo y festivos, de 8,30 a 20,30 horas. Cerrado  Los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Glorieta  Pradera de Vaquerizas, 9 ;;Centro Cultural Alfredo Kraus;Glorieta;;Pradera de Vaquerizas;número;9;08;Fuencarral-El Pardo;438847,13;4482486,68;40,49082796;-3,721603952;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Bacares, 24 esquina Calle Velez Rubio;esquina Calle Velez Rubio;Vía Pública;Calle;;Bacares;número;24;16;Hortaleza;443829,3;4480884,7;40,47674871;-3,662676296;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  Las Fuerzas Armadas, 10 ;;Parque Forestal Valdebebas (entrada 6 - Acceso Plaza del Reloj);Avenida;;Las Fuerzas Armadas;número;10;16;Hortaleza;445957,91;4481824,77;40,48535857;-3,637645558;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  Los Andes, 46 ;;Vía Pública;Avenida;;Los Andes;número;46;16;Hortaleza;447512,28;4478527,18;40,45575182;-3,619033651;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Mar de las Antillas, 2 ;; Parque Huerta de la Salud;Calle;;Mar de las Antillas;número;2;16;Hortaleza;445310,66;4480541,99;40,47376029;-3,6451714;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Princesa de Éboli, 29 ;;Centro Cultural Sanchinarro *;Calle;;Princesa de Éboli;número;29;16;Hortaleza;444462,27;4482376,5;40,49023;-3,65534;Lunes a Viernes 9:00 a 22:00. Sábados y Domingos 10:00 a 22:00.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Camarena, 10 ;; Centro Cultural  Fernando de los Ríos;Calle;;Camarena;número;10;10;Latina;435789,54;4471956,62;40,46282081;-3,587464939;De lunes a viernes, de 9 a 14 y de 16 a 18 horas: Julio, de lunes a viernes, de 9 a 14 horas.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Paseo  Lanceros, 2 ;;Jardines del Teniente Coronel Vesteiro;Paseo;;Lanceros;número;2;10;Latina;432654,3042;4470153,43;40,37924753149876;-3,7933659947249554;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Rafael Finat, 47 ;; Centro Municipal La Tercera Ciudad de Mejico;Calle;;Rafael Finat;número;47;10;Latina;434708,4;4470170,3;40,37956285;-3,769171545;Lunes a viernes: de 9 a 21 horas. Fines de semana y festivos: de 10 a 14 horas y de 16 a 21 horas;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Plaza  Moncloa, 1 ;;Junta Municipal de Distrito de Moncloa-Aravaca *;Plaza;;Moncloa;número;1;09;Moncloa-Aravaca;439054,11;4476324,29;40,43533;-3,71857;Lunes a Jueves 8:30 a 15:00. Viernes 8:30 a 14:00. Sábados y Domingos cerrado;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Pedro Justo Dorado Dellmans, 10 ;;Parque Almansa;Calle;;Pedro Justo Dorado Dellmans;número;10;09;Moncloa-Aravaca;439545,43;4477766,66;40,44835942;-3,712914835;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  Valladolid, 37 ;;Vía Pública;Avenida;;Valladolid;número;37;09;Moncloa-Aravaca;438152,4;4475471,99;40,42758567;-3,729117642;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Zarza, 20 ;;Oficina auxiliar Atención a la Ciudadanía de Aravaca *;Calle;;Zarza;número;20;09;Moncloa-Aravaca;433370,48;4478937;40,45843;-3,78585;Lunes a Viernes 8:30 a 14:00. Cerrado el mes de agosto, los sábados y los días 24 y 31 de diciembre;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Arroyo Belincoso, 11 ;; Biblioteca Miguel Delibes;Calle;;Arroyo Belincoso;número;11;14;Moratalaz;444505,84;4475623,91;40,42940234;-3,654235478;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Encomienda de Palacios, 190 ;;Centro Deportivo Municipal   Nicanor Barroso;Calle;;Encomienda de Palacios;número;190;14;Moratalaz;445516,96;4472229,25;40,39888808;-3,642025103;De 8,15 a 18 horas de Lunes a Viernes.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Concejo de Teverga, 1 ;;Centro Cultural Lope de Vega *;Calle;;Concejo de Teverga;número;1;13;Puente Vallecas;442995,89;4470873,96;40,38651;-3,67161;Lunes a Viernes 9:00 a 13:30 y de 17:00 a 19:00.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  Glorietas, 19 ;; Centro Cultural El Pozo del Tío Raimundo;Avenida;;Glorietas;número;19;13;Puente Vallecas;443976,61;4469457,58;40,37381701;-3,659931631;Lunes a viernes, de 9 a 13:45 y de 17 a 18:45 horas. Agosto cerrado;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Plaza  Daoiz y Velarde, 1 ;;Junta Municipal Retiro - (fachada de Centro Deportivo);Plaza;;Daoiz y Velarde;número;1;03;Retiro;442514,45;4472633,34;40,40232649;-3,677440719;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Pez Austral, 6 ;;Centro Municipal de Mayores La Estrella;Calle;;Pez Austral;número;6;03;Retiro;443472,86;4473849,45;40,4133475;-3,666255053;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Alcalde Sainz de Baranda, 94 ;;Centro Deportivo Municipal  Torrespaña;Calle;;Alcalde Sainz de Baranda;número;94;04;Salamanca;443945,18;4474719,62;40,42121841;-3,660765109;lunes a domingo: de 9:00 a 22:00 ;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Antonia Merced, 3 ;;Vía Pública;Calle;;Antonia Merced;número;3;04;Salamanca;442860,56;4474994,99;40,42362532;-3,673574347;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Plaza  Manuel Becerra, 8 ;; Parque María Eva Duarte de Perón;Plaza;;Manuel Becerra;número;8;04;Salamanca;443276,95;4475564,3;40,42878245;-3,668716945;De 7:00 a 24:00 horas;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Esfinge, 35 ;;Centro Municipal de Mayores Canillejas;Calle;;Esfinge;número;35;20;San Blas-Canillejas;448329,56;4477170,1;40,44357766;-3,609284853;Lunes a viernes: de 9:30 a 14:00 y de 16:00 a 20:30 h.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  Niza, 8 ;;Centro Deportivo Pepu Hernández;Avenida;;Niza;número;8;20;San Blas-Canillejas;448569,64;4475399,24;40,42763955;-3,606310722;De lunes a viernes, de 8 a 23 horas. Sábados, de 9 a 22 horas. Domingos y festivos, de 9 a 15 horas. ;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Pobladura del Valle, 13 ;; Centro Mayores Pablo Casals;Calle;;Pobladura del Valle;número;13;20;San Blas-Canillejas;447403,43;4475213,67;40,4258949;-3,620043024;Lunes a domingo: de 9:30 a 14:00 y de 16:00 a 20:30 h.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  San Román del Valle, 8 ;; Centro Cultural  Antonio Machado;Calle;;San Román del Valle;número;8;20;San Blas-Canillejas;447255,91;4474591,58;40,4202814;-3,62173039;De lunes a viernes, de 10 a 13:30 y de 17 a 18:30 horas. Cerrado  Agosto;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle   Bravo Murillo, 376 ;;Centro Deportivo Triángulo de Oro;Calle ;;Bravo Murillo;número;376;06;Tetuán;441294,37;4479609,24;40,46508352;-3,692462181;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Plaza  Donoso, 5 ;;Centro Cultural Eduardo Úrkulo;Plaza;;Donoso;número;5;06;Tetuán;440862,56;4480048,22;40,46900741;-3,697596154;Mañanas, de lunes a viernes, de 9:30 a 13:30 y tardes, de lunes a jueves 16:30 a 18 horas.  Julio, de lunes a viernes, de 9:30 a 13:30 horas;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Francos Rodriguez, 67 ;; Biblioteca Municipal Manuel Vázquez Montalbán;Calle;;Francos Rodriguez;número;67;06;Tetuán;439755,53;4478780,64;40,45750901;-3,710533606;De lunes a viernes de 9:30 a 14:00 y de 15:30 a 20:00  horas. Verano: del 15 de junio al 15 de septiembre de lunes a viernes de 8:30 a 20 horas. Cerrado festivos y los días 24 y 31 de diciembre.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avenida  General Perón, 30 ;;Vía Pública;Avenida;;General Perón;número;30;06;Tetuán;441104,86;4478171,95;40,45212239;-3,694564033;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Hierbabuena, 2 ;;Centro Deportivo Municipal  Playa Victoria;Calle;;Hierbabuena;número;2;06;Tetuán;440472,27;4478972,37;40,45928785;-3,702098837;  lunes a viernes: de 8,30 a 21 horas. •Sábados y festivos: de 9 a 14 horas. Cerrado  Domingos: cerrado Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Calle  Moreja, 11 ;; Polideportivo Orcasur;Calle;;Moreja;número;11;12;Usera;440728,52;4468851,13;40,36812912;-3,698133746;  lunes a viernes, de 8,45 a 20,30 horas •Sábados, domingos y festivos, de 8,45 a 14,30 horas.  Cerrado  mes de agosto y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Camino  Perales, 90 frente ;frente ;Parque Lineal del Manzanares (Puerta Principal);Camino;;Perales;número;90;12;Usera;441443,89;4469915,38;40,377767;-3,689806;Todos los días, 24 horas.;www.madrid.es/puntoslimpios;;;;
punto limpio de proximidad;Avendia  Rafaela Ybarra, 41 ;;Junta Municipal Usera;Avendia;;Rafaela Ybarra;número;41;12;Usera;439660,68;4470442,34;40,38238696;-3,710861102;Todos los días, 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;;;;
