Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea EMT;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
82;;MARQUESINA MOD XXI 4-M STD;RETIRO;PRADO (DEL);Pº;13;CUESTA MOYANO A 40 M;PZA DE CIBELES;PRADO (DEL), Pº Nº13 CUESTA MOYANO A 40 M PZA DE CIBELES;441380,4375;4473698,5;SI;10, 14, 27, 34, 37, 45, N9, N10, N11, N12, N13, N14, N15, N17, N25;441271,022;4473491,019;-3.692177641;40.41005933
84;;MARQUESINA MOD XXI 5-M STD;CENTRO;ATOCHA;RDA;30;-;GTA EMBAJADORES;ATOCHA, RONDA Nº30 - GTA EMBAJADORES;440817,5625;4473285;SI;27, 34, 36, 41, 119, C1, N12, N15, N17;440708,15;4473077,524;-3.698772874;40.40629448
96;;MARQUESINA MOD XXI 5-M STD;CHAMARTIN;CONCHA ESPINA;AV;0;FTE.14;Pº DE LA CASTELLANA;CONCHA ESPINA, AV Nº0 FTE.14 Pº DE LA CASTELLANA;441882,2188;4478361;SI;14, 150;441772,814;4478153,522;-3.686690298;40.45209656
105;;MARQUESINA MOD XXI 4-M STD;CHAMARTIN;FRAY BERNARDINO SAHAGUN;CALLE;1;ESQ PZA MADRE MOLAS;PZA MADRE MOLAS;FRAY BERNARDINO SAHAGUN, CALLE Nº1 ESQ PZA MADRE MOLAS PZA MADRE MOLAS;442071,875;4479537,5;SI;150;441962,476;4479330,024;-3.684561102;40.46270824
109;;MARQUESINA MOD XXI 4-M REDUCIDA ;CHAMARTIN;ALFONSO XIII;AV;204;FTE  Nº 167;C/FRAY BERNADINO SAH;ALFONSO XIII, AV Nº204 FRENTE AL Nº 167 C/FRAY BERNADINO SAH;442417,6563;4479285,5;SI;150;442308,254;4479078,018;-3.680459881;40.46046215
112;;MARQUESINA MOD XXI 5-M STD;CHAMARTIN;PIO XII;AV;0;ESQ PZA DEL PERU;M-30;PIO XII, AVD Nº0 ESQ PZA DEL PERU M-30;442766;4479333;SI;16, 29, 150, N1;442656,597;4479125,514;-3.676355721;40.46091413
113;;MARQUESINA MOD XXI 5-M STD;CHAMARTIN;PERU;PZA;1;ESQ C/ PRINCIPE DE VERGARA;PRINCIPE VERGARA;PERU, PZA Nº1 ESQ C/ PRINCIPE DE VERGARA PRINCIPE VERGARA;442717;4479256;SI;51;442607,597;4479048,514;-3.676926692;40.4602171
115;;MARQUESINA MOD XXI 5-M STD;CHAMARTIN;PIO XII;AV;0;JTO. C. COMERCIAL (1ºMARQUESINA);M-30;PIO XII, AVD Nº0 JTO. C. COMERCIAL (1ºMARQUESINA) M-30;442795,3125;4479513,5;SI;16, 29, 150, N1;442685,911;4479306,014;-3.676026271;40.46254217
116;;MARQUESINA MOD XXI 5-M STD;CHAMARTIN;PIO XII;AV;47;ESQ C/ COMANDANTE FRANCO A 60M.;PPE. VERGARA;PIO XII, AVD Nº47 ESQ C/ COMANDANTE FRANCO A 60M. PPE. VERGARA;442820,6875;4479808,5;SI;16, 29, 150, N1;442711,287;4479601,015;-3.675753566;40.46520141
125;;MARQUESINA MOD XXI 5-M STD;CHAMARTIN;BURGOS;AV;0;FTE Nº 30;DUQUE PASTRANA;BURGOS, AV. Nº0 FTE Nº 30 DUQUE PASTRANA;442831;4481395;SI;129, 150, 174;442721,608;4481187,52;-3.675774929;40.47949401
127;;MARQUESINA MOD XXI 4-M STD;CHAMARTIN;SAN LUIS;AV;0;ANT AV. DE BURGOS;AV. BURGOS;SAN LUIS, AVD Nº0 ANTES DE AV. DE BURGOS AV. BURGOS;442876;4481562;SI;129, 150;442766,609;4481354,52;-3.675259086;40.48100151
129;17221;MARQUESINA MOD XXI 5-M REDUCIDA ;CIUDAD LINEAL;SAN LUIS;AV;0;ESQ C/ CONDADO DE TREVIÑO;AV BURGOS;SAN LUIS, AVD Nº0 ESQ C/ CONDADO DE TREVIÑO AV BURGOS;443140;4481403;SI;129, 150;443030,607;4481195,516;-3.672130199;40.4795873
132;17023;MARQUESINA MOD XXI 5-M REDUCIDA;CIUDAD LINEAL;SAN LUIS;AV;93;-;PZA STOS HUMOSA;SAN LUIS, AVD Nº93 - PZA STOS HUMOSA;443241,6563;4481167,5;SI;129, 150;443132,262;4480960,014;-3.67090982;40.47747277
136;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;ARTURO SORIA;CALLE;324;ESQ C/ DE LA CULTURA;M-40;ARTURO SORIA, CALLE Nº324 ESQ C/ DE LA CULTURA M-40;443453;4481288;SI;29, 125, 129, 150;443343,606;4481080,512;-3.668427297;40.47857271
137;16809;MARQUESINA MOD XXI 4-M REDUCIDA;CIUDAD LINEAL;ARTURO SORIA;CALLE;329;ESQ C/CALERUEGA;PZA. CIUDAD LINEAL;ARTURO SORIA, CALLE Nº329 ESQ C/CALERUEGA PZA. CIUDAD LINEAL;443554;4481502;SI;125, 129, 150, N1;443444,606;4481294,511;-3.667254809;40.48050739
140;11317;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;ARTURO SORIA;CALLE;340;PROX. C/ LAUD;M-40;ARTURO SORIA, CALLE Nº340 PROX. C/ LAUD M-40;443784;4481713;SI;125, 129, 150;443674,607;4481505,509;-3.664560034;40.48242377
146;;MARQUESINA MOD XXI 5-M STD;CHAMARTIN;BURGOS;AV;8;ESQ AV PIO XII;AV SAN LUIS;BURGOS, AV. Nº8 ESQ AV PIO XII AV SAN LUIS;442832,3125;4480691;SI;129, 150;442722,917;4480483,518;-3.675695979;40.47315216
147;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;MANUEL BECERRA;PZA;;CON FCO. SILVELA 1º DARSENA (2º MARQ);C/ ALCALA;MANUEL BECERRA, PZA Nº CON FCO. SILVELA 1º DARSENA (2º MARQ) C/ ALCALA;443350,7188;4475746;SI;143, 156;443241,298;4475538,498;-3.669139428;40.42864075
149;;MARQUESINA MOD XXI 4-M REDUCIDA ;SALAMANCA;DR. ESQUERDO;CALLE;33;FTE Nº 22;MANUEL BECERRA;DR. ESQUERDO, CALLE Nº33 FRENTE AL Nº 22 MANUEL BECERRA;443401,375;4475329,5;SI;2, 56, 71, 143, 156, C2;443291,952;4475121,996;-3.668505176;40.42489215
150;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;DR. ESQUERDO;CALLE;0;DESP  C/ DUQUE DE SESTO;PZA.CONDE CASAL;DR. ESQUERDO, CALLE Nº0 DESP  C/ DUQUE DE SESTO PZA.CONDE CASAL;443341;4475012;SI;2, 30, 56, 71, 143, 156, E4;443231,576;4474804,497;-3.669188585;40.42202783
151;;MARQUESINA MOD XXI 4-M STD;SALAMANCA;DR. ESQUERDO;CALLE;49;FTE. CASA DE LA MONEDA;PZA MANUEL BECERRA;DR. ESQUERDO, CALLE Nº49 FTE. CASA DE LA MONEDA PZA MANUEL BECERRA;443382;4475094;SI;2, 30, 56, 71, 143, 156;443272,576;4474886,496;-3.668712598;40.42276932
155;;MARQUESINA MOD XXI 4-M STD;RETIRO;O'DONNELL;CALLE;46;ESQ. C/ MAIQUEZ;M-30;O'DONNELL, CALLE Nº46 ESQ. C/ MAIQUEZ M-30;443006;4474938;SI;28, N6;442896,578;4474730,501;-3.673130772;40.42133832
156;;MARQUESINA MOD XXI 4-M STD;SALAMANCA;O'DONNELL;CALLE;29;-;PZA. INDEPENDENCIA;O'DONNELL, CALLE Nº29 - PZA. INDEPENDENCIA;442730;4474988;SI;2, 28, N6;442620,58;4474780,505;-3.676388596;40.42176979
159;;MARQUESINA MOD XXI 5-M STD;RETIRO;O'DONNELL;CALLE;0;FTE Nº 9;M - 30;O'DONNELL, CALLE Nº0 FTE Nº 9 M - 30;442361;4474960;SI;20, N8;442251,582;4474752,51;-3.680735631;40.42149206
172;;MARQUESINA MOD XXI 4-M STD;CENTRO;PRINCESA;CALLE;18;-;MONCLOA;PRINCESA, CALLE Nº18 - MONCLOA;439657;4475481;SI;1, 2, 44, 133, 138, C1, N21;439547,6;4475273,538;-3.712658077;40.42599371
176;;MARQUESINA MOD XXI 4-M ESTRECHA ;CHAMBERI;BLASCO DE GARAY;CALLE;2;ESQ C/ ALBERTO AGUILERA;C/ CEA BERMUDEZ;BLASCO DE GARAY, CALLE Nº2 ESQ C/ ALBERTO AGUILERA C/ CEA BERMUDEZ;439740;4475985;SI;2;439630,601;4475777,538;-3.711727442;40.43053998
186;;MARQUESINA MOD XXI 4-M STD;CHAMBERI;GUZMAN EL BUENO;CALLE;0;JUNTO DELEGACION DE HACIENDA;C/ALBERTO AGUILERA;GUZMAN EL BUENO, CALLE Nº0 JUNTO DELEGACION DE HACIENDA C/ALBERTO AGUILERA;439695,6563;4477692;SI;2;439586,263;4477484,543;-3.712412227;40.44591414
190;;MARQUESINA MOD XXI 4-M REDUCIDA ;CHAMBERI;GUZMAN EL BUENO;CALLE;65;ESQ C/ FERNANDEZ DE LOS RIOS;ALBERTO AGUILER;GUZMAN EL BUENO, CALLE Nº65 ESQ C/ FERNANDEZ DE LOS RIOS ALBERTO AGUILER;439617,3125;4476582;SI;2;439507,917;4476374,54;-3.713230517;40.43590911
191;;MARQUESINA MOD XXI 4-M REDUCIDA ;CHAMBERI;GUZMAN EL BUENO;CALLE;39;ESQ C/ MELENDEZ VALDES 60 MTS;ALBERTO AGUILER;GUZMAN EL BUENO, CALLE Nº39 ESQ C/ MELENDEZ VALDES 60 MTS ALBERTO AGUILER;439599,125;4476326,5;SI;2;439489,728;4476119,04;-3.71342066;40.43360614
194;;MARQUESINA MOD XXI 5-M REDUCIDA ;RETIRO;MENENDEZ Y PELAYO;AV;17;ESQ C/MENORCA;C/PRINCEPE D VERGARA;MENENDEZ Y PELAYO, AV Nº17 ESQ C/MENORCA C/PRINCEPE D VERGARA;442491,0625;4474778;SI;20, 152, N8;442381,643;4474570,508;-3.679186071;40.41986151
199;;MARQUESINA MOD XXI 5-M REDUCIDA ;RETIRO;IBIZA;CALLE;43;-;AV MENEDEZ PELAYO;IBIZA, CALLE Nº43 - AV MENEDEZ PELAYO;443035;4474606;SI;2, N8;442925,577;4474398,501;-3.672759198;40.41834947
208;;MARQUESINA MOD XXI 4-M STD;CHAMARTIN;MEMORIAL 11 DE MARZO DE 2004;CALLE;12;ANTES DE AV. PIO XII;C/ ARTURO SORIA;MEMORIAL 11 DE MARZO DE 2004, CALLE Nº12 ANTES DE AV. PIO XII C/ ARTURO SORIA;442865,4375;4480055,5;SI;70, 107;442756,039;4479848,015;-3.675247981;40.46742958
213;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;ARTURO SORIA;CALLE;246;ESQ C/ GONZALEZ AMIGO;M-40;ARTURO SORIA, CALLE Nº246 ESQ C/ GONZALEZ AMIGO M-40;443666,8438;4479957,5;SI;70;443557,441;4479750,004;-3.665786319;40.46660149
214;;MARQUESINA MOD XXI 5-M STD;CIUDAD LINEAL;ARTURO SORIA;CALLE;254;DESP C/ AÑASTRO;M-40;ARTURO SORIA, CALLE Nº254 DESPUES C/ AÑASTRO M-40;443652;4480068;SI;7, 29, 107, N1;443542,598;4479860,505;-3.66597122;40.46759592
215;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;ARTURO SORIA;CALLE;0;FTE  Nº 228;PZA. CIUDAD LINEAL;ARTURO SORIA, CALLE Nº0 FTE  Nº 228 PZA. CIUDAD LINEAL;443725;4479563;SI;7, 70;443615,595;4479355,502;-3.665065358;40.4630516
223;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;ARTURO SORIA;CALLE;164;-;M-40;ARTURO SORIA, CALLE Nº164 - M-40;444540,9063;4478638;SI;11, 70, 122, N3;444431,492;4478430,488;-3.655361142;40.45477361
225;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;ARTURO SORIA;CALLE;136;ANT C/ DIEGO DE AYLLON;M-40;ARTURO SORIA, CALLE Nº136 ANTES C/ DIEGO DE AYLLON M-40;444806,3125;4478215;SI;11, 70, 122, N3;444696,895;4478007,483;-3.652194356;40.45098069
229;;MARQUESINA MOD XXI 5-M REDUCIDA ;CIUDAD LINEAL;ARTURO SORIA;CALLE;110;DESP. C/ JOSE Mª CAVERO;M-40;ARTURO SORIA, CALLE Nº110 DESP. C/ JOSE Mª CAVERO M-40;445077;4477788;SI;21, 70, 114, N4;444967,579;4477580,478;-3.648965305;40.44715198
231;;MARQUESINA MOD XXI 5-M STD;CIUDAD LINEAL;ARTURO SORIA;CALLE;90;-;M-40;ARTURO SORIA, CALLE Nº90 - M-40;445357;4477567;SI;21, 70;445247,576;4477359,473;-3.645644538;40.44517955
232;;MARQUESINA MOD XXI 5-M REDUCIDA;CIUDAD LINEAL;ARTURO SORIA;CALLE;53;FTE HOSPITAL DEL AIRE;PZA. CIUDAD LINEAL;ARTURO SORIA, CALLE Nº53 FTE HOSPITAL DEL AIRE PZA. CIUDAD LINEAL;445499,75;4477444;SI;70;445390,325;4477236,471;-3.643950728;40.44408087
236;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;ARTURO SORIA;CALLE;5;-;PZA. CIUDAD LINEAL;ARTURO SORIA, CALLE Nº5 - PZA. CIUDAD LINEAL;445931;4476835;SI;48, 70;445821,57;4476627,464;-3.63881383;40.43862283
240;;MARQUESINA MOD XXI 4-M REDUCIDA ;CIUDAD LINEAL;INSTITUCION LIBRE DE ENSEÑANZA;CALLE;28;ESQ C/VITAL AZA;PZA ALSACIA;INSTITUCION LIBRE ENSEÑANZA, AV Nº28 ESQ C/VITAL AZA PZA ALSACIA;446159;4476427;SI;4, 38, 48, 70, 105;446049,568;4476219,46;-3.636091023;40.43496213
242;15046;MARQUESINA MOD XXI 5-M STD;CIUDAD LINEAL;INSTITUCION LIBRE DE ENSEÑANZA;CALLE;0;ESQ C/ASCAO;PZA ALSACIA;INSTITUCION LIBRE ENSEÑANZA, AV Nº0 ESQ C/ASCAO PZA ALSACIA;446295;4476166;SI;4, 38, 48, 70;446185,566;4475958,458;-3.634465544;40.43261969
244;;MARQUESINA MOD XXI 5-M STD;CIUDAD LINEAL;INSTITUCION LIBRE DE ENSEÑANZA;CALLE;68;ANT C/ LUIS CAMPOS (2ª MQ);PZA ALSACIA;INSTITUCION LIBRE ENSEÑANZA, AV Nº68 ANTES C/ LUIS CAMPOS (2ª MQ) PZA ALSACIA;446491;4475817;SI;4, 38, 48, 70, N6;446381,563;4475609,455;-3.632125426;40.42948833
245;;MARQUESINA MOD XXI 5-M STD;SAN BLAS-CANILLEJAS;INSTITUCION LIBRE DE ENSEÑANZA;CALLE;53;ANTES C/ VALDECANILLAS (1ª MQ);C/ ARTURO SORIA;INSTITUCION LIBRE ENSEÑANZA, AV Nº53 ANTES C/ VALDECANILLAS (1ª MQ) C/ ARTURO SORIA;446535;4475821;SI;4, 38, 48, 70, N6;446425,563;4475613,454;-3.63160705;40.42952719
246;;MARQUESINA MOD XXI 5-M STD;CIUDAD LINEAL;INSTITUCION LIBRE DE ENSEÑANZA;CALLE;0;JTO C/REALEJOS;PZA ALSACIA;INSTITUCION LIBRE ENSEÑANZA, AV Nº0 JUNTO C/REALEJOS PZA ALSACIA;446595;4475626;SI;4, 38, 48, 70;446485,562;4475418,453;-3.630883331;40.42777437
251;;MARQUESINA MOD XXI 5-M STD;SAN BLAS-CANILLEJAS;INSTITUCION LIBRE DE ENSEÑANZA;CALLE;0;FTE  Nº 158;C/ARTURO SORIA;INSTITUCION LIBRE ENSEÑANZA, AV Nº0 FRENTE AL Nº 158 C/ARTURO SORIA;446778,75;4475357;SI;70;446669,31;4475149,45;-3.628694651;40.42536284
252;10849;MARQUESINA MOD XXI 5-M STD;SAN BLAS-CANILLEJAS;INSTITUCION LIBRE DE ENSEÑANZA;CALLE;0;ESQ AV ARCENTALES;C/ARTURO SORIA;INSTITUCION LIBRE ENSEÑANZA, AV Nº0 ESQ AV ARCENTALES C/ARTURO SORIA;446875;4475204;SI;4, 38, 48, N6;446765,559;4474996,448;-3.627547251;40.42399068
253;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;INSTITUCION LIBRE DE ENSEÑANZA;CALLE;184;DESP. C/ MATAMOROSA;PZA. ALSACIA;INSTITUCION LIBRE ENSEÑANZA, AV Nº184 DESP. C/ MATAMOROSA PZA. ALSACIA;447024,0938;4474835,5;SI;70;446914,65;4474627,945;-3.625759037;40.42068052
255;;MARQUESINA MOD XXI 4-M STD;SALAMANCA;GOYA;CALLE;80;ESQ C/ FERRAN GONZALEZ;C/ DR. ESQUERDO;GOYA, CALLE Nº80 ESQ C/ FERRAN GONZALEZ C/ DR. ESQUERDO;442897;4475314;SI;30, E4;442787,58;4475106,503;-3.674449367;40.42471804
256;;MARQUESINA MOD XXI 5-M STD;CIUDAD LINEAL;NICOLAS SALMERON;CALLE;0;ANT C/ PAREDES DE NAVA;LARGO CABALLERO;NICOLAS SALMERON, CALLE Nº0 ANTES C/ PAREDES DE NAVA LARGO CABALLERO;446826;4474610;SI;70, 106, N7;446716,556;4474402,448;-3.62807519;40.41863644
258;;MARQUESINA MOD XXI 5-M STD;CIUDAD LINEAL;NICOLAS SALMERON;CALLE;0;ANT C/ MATAMOROSA;AV LARGO CABALLERO;NICOLAS SALMERON, CALLE Nº0 ANTES C/ MATAMOROSA AV LARGO CABALLERO;446663;4474724;SI;70, 106;446553,557;4474516,451;-3.630006037;40.41965299
260;;MARQUESINA MOD XXI 5-M STD;CIUDAD LINEAL;NICOLAS SALMERON;CALLE;13;DESP C/ RODRIGO DE TRIANA;LARGO CABALLERO;NICOLAS SALMERON, CALLE Nº13 DESP C/ RODRIGO DE TRIANA LARGO CABALLERO;446480;4474850;SI;70, 106, N7;446370,559;4474642,454;-3.6321737;40.42077632
263;;MARQUESINA MOD XXI 4-M ESTRECHA ;CIUDAD LINEAL;NICOLAS SALMERON;CALLE;0;ANT C/ VILLAESCUSA;PZA. ALSACIA;NICOLAS SALMERON, CALLE Nº0 ANTES C/ VILLAESCUSA PZA. ALSACIA;446305,2188;4474958;SI;106;446195,779;4474750,456;-3.634243035;40.42173798
265;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;FRANCISCO L. CABALLERO;AV;0;ALTURA C/ VILLAESCUSA;AV. INSTITUCION LIBRE DE ENSEÑANZA;FRANCISCO L. CABALLERO, AV. Nº0 ALTURA C/ VILLAESCUSA AV. INSTITUCION LIBRE DE ENSEÑANZA;446435;4475123;SI;70;446325,56;4474915,455;-3.63272713;40.42323277
268;;MARQUESINA MOD XXI 5-M STD;CHAMARTIN;LOPEZ DE HOYOS;CALLE;69;-;C/ MARIA DE MOLINA;LOPEZ DE HOYOS, CALLE Nº69 - C/ MARIA DE MOLINA;442808,1563;4477365,5;SI;9, 73, N2;442698,742;4477158,006;-3.675681286;40.44319287
278;;MARQUESINA MOD XXI 4-M STD;CENTRO;HORTALEZA;CALLE;80;ESQ. C/ GRAVINA;PZA ALONSO MARTINEZ;HORTALEZA, CALLE Nº80 ESQ. C/ GRAVINA PZA ALONSO MARTINEZ;440839,0313;4475208;SI;3;440729,623;4475000,526;-3.698698724;40.42361932
281;;MARQUESINA MOD XXI 4-M STD;CHAMBERI;FRANCISCO DE ROJAS;CALLE;1;ESQ C/SAGASTA;C/ SAGASTA;FRANCISCO DE ROJAS, CALLE Nº1 ESQ C/SAGASTA C/ SAGASTA;440766;4475780;SI;40;440656,594;4475572,528;-3.699612893;40.42876696
282;;MARQUESINA MOD XXI 5-M STD;CHAMBERI;FRANCISCO DE ROJAS;CALLE;13;-;C/ SAGASTA;FRANCISCO DE ROJAS, CALLE Nº13 - C/ SAGASTA;440729;4475947;SI;40;440619,594;4475739,528;-3.700064645;40.43026874
284;;MARQUESINA MOD XXI 4-M STD;CHAMBERI;LUCHANA;CALLE;40;ESQ. C/ SANTA ENGRACIA;C/ SANTA ENGRACIA;LUCHANA, CALLE Nº40 ESQ. C/ SANTA ENGRACIA C/ SANTA ENGRACIA;440893;4476152;SI;40, 147;440783,594;4475944,527;-3.698150331;40.43212714
285;;MARQUESINA MOD XXI 4-M STD;CHAMBERI;LUCHANA;CALLE;29;ESQ C/JUAN DE AUSTRIA;GTA DE BILBAO;LUCHANA, CALLE Nº29 ESQ C/JUAN DE AUSTRIA GTA DE BILBAO;440848;4476143;SI;40, 147;440738,594;4475935,527;-3.698680008;40.43204287
286;;MARQUESINA MOD XXI 4-M REDUCIDA;CHAMBERI;EDUARDO DATO;Pº;4;ESQ C/FERNANDEZ DE LA HOZ;P CASTELLANA;EDUARDO DATO, Pº Nº4 ESQ C/FERNANDEZ DE LA HOZ P CASTELLANA;441218;4476223;SI;40, 147;441108,592;4476015,524;-3.694325399;40.43278978
292;;MARQUESINA MOD XXI 4-M STD;USERA;RAFAELA YBARRA;AV;0;DESP. C/ BEASAIN;VILLAVERDE;RAFAELA YBARRA, AVD Nº0 DESP. C/ BEASAIN VILLAVERDE;439623,625;4468921;SI;6, 131;439514,188;4468713,524;-3.712429419;40.36689563
293;;MARQUESINA MOD XXI 4-M REDUCIDA;CHAMARTIN;ALBERTO ALCOCER;CALLE;22;ESQ. C/ PADRE DAMIAN;C/ COSTA RICA;ALBERTO ALCOCER, CALLE Nº22 ESQ. C/ PADRE DAMIAN C/ COSTA RICA;442017;4479090;SI;11, 40;441907,599;4478882,523;-3.685167444;40.45867314
296;;MARQUESINA MOD XXI 4-M REDUCIDA;CHAMARTIN;ALBERTO ALCOCER;CALLE;33;ESQ. Pº DE LA HABANA;Pº CASTELLANA;ALBERTO ALCOCER, CALLE Nº33 ESQ. Pº DE LA HABANA Pº CASTELLANA;442255;4479108;SI;11, 40;442145,598;4478900,52;-3.682362134;40.45885187
300;;MARQUESINA MOD XXI 5-M REDUCIDA;CHAMARTIN;COSTA RICA;CALLE;30;ESQ C/ VICTOR DE LA SERNA;M-30;COSTA RICA, CALLE Nº30 ESQ C/ VICTOR DE LA SERNA M-30;443109;4479048;SI;7, 11, 40, 87;442999,594;4478840,508;-3.672284724;40.45837028
