Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea EMT;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
23;6341;MARQUESINA MOD XXI 5-M STD;MONCLOA-ARAVACA;PUERTA DE HIERRO;AV;0;JTO. FACULTAD DE ESTADISTICA (2ª MQ);MONCLOA;PUERTA DE HIERRO, AVD Nº0 JTO. FACULTAD DE ESTADISTICA (2ª MQ) MONCLOA;437709;4477961;SI;83, 133, 162;437599,623;4477753,565;-3.735864371;40.44819087
24;;MARQUESINA MOD XXI 4-M STD;HORTALEZA;MAR DE CRISTAL;GTA;;DESP. C/ AREQUIPA (2 MARQ);C/MAR ADRIATICO;MAR DE CRISTAL, GTA. Nº DESP. C/ AREQUIPA (2 MARQ) C/MAR ADRIATICO;446051;4480263;SI;112, 125;445941,59;4480055,473;-3.637690284;40.46951188
31;;MARQUESINA MOD XXI 5-M STD;CHAMARTIN;MATEO INURRIA;CALLE;0;FTE. CANAL ISABEL II (2ª MQ);PZA CASTILLA;MATEO INURRIA, CALLE Nº0 FTE. CANAL ISABEL II (2ª MQ) PZA CASTILLA;441756;4479957;SI;5, 66, 70, 107, 129, 174;441646,605;4479749,529;-3.688325227;40.46646519
53;;MARQUESINA MOD XXI 5-M STD;CHAMBERI;CASTELLANA;Pº;61;JTO  S.JUAN DE LA CRUZ (3 MARQ);PZA CIBELES;CASTELLANA, Pº Nº61 JTO  S.JUAN DE LA CRUZ (3 MARQ) PZA CIBELES;441406;4477136;SI;7, 14, 27, 40, 147, 150, N22, N24;441296,593;4476928,523;-3.692193195;40.44102777
62;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;CASTELLANA;Pº;20;ANTES C/ MARQUES VILLAMAGNA (1ª MARQ);PLAZA CASTILLA;CASTELLANA, Pº Nº20 ANTES C/ MARQUES VILLAMAGNA (1ª MARQ) PLAZA CASTILLA;441660,625;4475828;SI;5, 14, 27, 45, 150, N1, N22, N24;441551,213;4475620,519;-3.689070878;40.4292626
63;;MARQUESINA MOD XXI 5-M STD;CHAMBERI;CASTELLANA;Pº;1;2ª MQ;PZA COLON;CASTELLANA, Pº Nº1 2ª MQ PZA COLON;441525,9375;4475456,5;SI;5, 14, 27, 45, 150, N1, N22, N24, N25, N26;441416,526;4475249,02;-3.690624501;40.4259065
66;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;CASTELLANA;Pº;2;DESP PLAZA DE COLON (2 MARQ);PZA DE CASTILLA;CASTELLANA, Pº Nº2 DESP PLAZA DE COLON (2 MARQ) PZA DE CASTILLA;441589,8438;4475481;SI;5, 14, 27, 45, 150, N1, N22, N24;441480,432;4475273,519;-3.689873415;40.42613169
70;;MARQUESINA MOD XXI 5-M STD;CENTRO;CIBELES (DE);PZA;0;Pº CENTRAL Pº DEL PRADO (3ª MQ);PZA INDEPENDENC;CIBELES (DE), PZA Nº0 Pº CENTRAL Pº DEL PRADO (3ª MQ) PZA INDEPENDENC;441286,8438;4474709;SI;1, 2, 9, 15, 20, 51, 52, 74, 146, N5, N6, N7;441177,432;4474501,521;-3.693373951;40.41915581
73;;MARQUESINA MOD XXI 5-M STD;CENTRO;RECOLETOS (DE);Pº;1;ANTES PZA DE CIBELES (1ª MQ);PZA DE CIBELES;RECOLETOS (DE), Pº Nº1 ANTES PZA DE CIBELES (1ª MQ) PZA DE CIBELES;441335,9688;4474828,5;SI;5, 14, 27, 37, 45, 150, N23, N25, N26;441226,557;4474621,021;-3.692805939;40.42023579
77;;MARQUESINA MOD XXI 5-M STD;CENTRO;CANOVAS DEL CASTILLO;PZA;5;ISLETA CENTRAL;GTA CARLOS V;CANOVAS DEL CASTILLO, PZA Nº5 ISLETA CENTRAL GTA CARLOS V;441174,4688;4474263;SI;10, 14, 27, 34, 37, 45, N9, N10, N11, N12, N13, N14, N15, N17, N25, N26;441065,056;4474055,522;-3.69465726;40.41513009
78;;MARQUESINA MOD XXI 4-M STD;RETIRO;CANOVAS DEL CASTILLO;PZA;0;DESP C/ FELIPE IV (1 MARQ);PZA DE CIBELES;CANOVAS DEL CASTILLO, PZA Nº0 DESP C/ FELIPE IV (1 MARQ) PZA DE CIBELES;441293;4474319;SI;10, 14, 27, 34, 37, 45, N9, N10, N11, N12, N13, N14, N15, N17, N25;441183,587;4474111,521;-3.693265388;40.41564294
79;;MARQUESINA MOD XXI 4-M REDUCIDA;CENTRO;PRADO (DEL);Pº;24;ESQ C/ HUERTAS 25 MT;GTA CARLOS V;PRADO (DEL), Pº Nº24 ESQ C/ HUERTAS 25 MT GTA CARLOS V;441276,3125;4473955,5;SI;10, 14, 27, 34, 37, 45, N9, N10, N11, N12, N13, N14, N15, N17, N25, N26;441166,899;4473748,021;-3.693428516;40.41236717
81;;MARQUESINA MOD XXI 5-M REDUCIDA;CENTRO;PRADO (DEL);Pº;46;ESQ C/ ATOCHA A 25 M;GTA ATOCHA;PRADO (DEL), Pº Nº46 ESQ C/ ATOCHA A 25 M GTA ATOCHA;441342,1875;4473684;SI;10, 14, 27, 34, 37, 45, N9, N10, N11, N12, N13, N14, N15, N17, N25, N26;441232,773;4473476,52;-3.692627095;40.40992601
