PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,EQUIPAMIENTO_CLEANED,DEPORTE,wikidata_id_DEPORTE,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,wikidata_id_DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Column
11353987,Instalación Deportiva  Básica Embalse de San Juan,,,Pista de baloncesto. Pista de fútbol sala.,pista de baloncesto,basketball,https://wikidata.org/entity/Q5372,"Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa29f533a3468710VgnVCM1000001d4a900aRCRD,EMBALSE DE SAN JUAN,CALLE,V,1,,,,,MADRID,MADRID,28051,3,ENSANCHE DE VALLECAS,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,449213,4468179,40.36264,-3.59815,,,,InstalacionesDeportivasBasicas, 
11353987,Instalación Deportiva  Básica Embalse de San Juan,,,,pista de futbol ,association football,https://wikidata.org/entity/Q2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6344681,Instalación Deportiva Básica Alto del Retiro,,,Pista polideportiva (marcajes de fútbol sala y balonmano) Pista baloncesto,pista de futbol sala,futsal,https://wikidata.org/entity/Q171401,Metro: Las Suertes,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a7c2150461f5310VgnVCM1000000b205a0aRCRD,ALTO DEL RETIRO,CALLE,V,13,,,,c/v calle Antonio Gades,MADRID,MADRID,28051,1,CASCO H.VALLECAS,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,450057,4468715,40.36751,-3.58826,,,,InstalacionesDeportivasBasicas, 
6344681,Instalación Deportiva Básica Alto del Retiro,,,,pista de balonmano,handball,https://wikidata.org/entity/Q8418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11350944,Instalación Deportiva Básica Avenida de Cerro Milano,,,Pista de minibaloncesto. Pista de minifútbol,pista de minibaloncesto,basketball,https://wikidata.org/entity/Q5372,Metro: CongostoBus: 142,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3ccd112cde58710VgnVCM1000001d4a900aRCRD,CERRO MILANO,AVENIDA,V,1,,,,,MADRID,MADRID,28051,1,CASCO H.VALLECAS,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,447502,4468855,40.36862,-3.61836,,,,InstalacionesDeportivasBasicas, 
11350944,Instalación Deportiva Básica Avenida de Cerro Milano,,,,pista de minifutbol,futsal,https://wikidata.org/entity/Q171401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11350990,Instalación Deportiva Básica Avenida de las Suertes,,,Pista de baloncesto. Pista polideportiva (marcajes de fútbol sala y voleibol).,pista de baloncesto,basketball,https://wikidata.org/entity/Q5372,Metro: Las Suertes,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b777d112cde58710VgnVCM1000001d4a900aRCRD,avenida de las Suertes,AVENIDA,V,,,,,,MADRID,MADRID,28051,3,ENSANCHE DE VALLECAS,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,448037,4469037,40.3703,-3.61207,,,,InstalacionesDeportivasBasicas, 
11350990,Instalación Deportiva Básica Avenida de las Suertes,,,,pista de futbol sala,futsal,https://wikidata.org/entity/Q171401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11350990,Instalación Deportiva Básica Avenida de las Suertes,,,,pista de voley,volleyball,https://wikidata.org/entity/Q1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11350948,Instalación Deportiva Básica Avenida del Ensanche de Vallecas,,,Pista de minibaloncesto. Pista de minifútbol. Pista de skate.,pista de minibaloncesto,basketball,https://wikidata.org/entity/Q5372,Metro: Las Suertes,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=867fd112cde58710VgnVCM1000001d4a900aRCRD,ENSANCHE DE VALLECAS,AVENIDA,V,11,,,,,MADRID,MADRID,28051,3,ENSANCHE DE VALLECAS,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,448037,4469037,40.3703,-3.61207,,,,InstalacionesDeportivasBasicas, 
11350948,Instalación Deportiva Básica Avenida del Ensanche de Vallecas,,,,pista de minifutbol,futsal,https://wikidata.org/entity/Q171401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11350948,Instalación Deportiva Básica Avenida del Ensanche de Vallecas,,,,pista de skate,skateboarding,https://wikidata.org/entity/Q842284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
