PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,EQUIPAMIENTO_CLEANED,DEPORTE,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Column
6308361,Instalación Deportiva Municipal Básica Barrio de Santa Ana - Andrés Navarrete,,,campo de futbol  (cesped artificial),campo de futbol 11,futbol 11,"Metro: FuencarralBus: 66 , 137",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f876d9359e735310VgnVCM2000000c205a0aRCRD,HOSPITALET DE LLOBREGAT,CALLE,V,11,,,,,MADRID,MADRID,28034,6,VALVERDE,8,FUENCARRAL-EL PARDO,441133,4482878,40.49452475361937,-3.6946653699300733,,,,CamposEstadiosFutbol, 
6308361,,,, campo de futbol  (cesped artificial),campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555292,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527131,Instalación Deportiva Municipal Básica C. F. Nuestra Señora del Buen Camino,,, campo de futbol (cesped artificial),campo de futbol 11,futbol 11,"Bus: 160 , 161 , I.Renfe: Aravaca",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8789e08dc3ee0110VgnVCM1000000b205a0aRCRD,RIO ZANCARA,GLORIETA,V,1,,,,,MADRID,MADRID,28023,7,ARAVACA,9,MONCLOA-ARAVACA,434004,4478507,40.452725617488625,-3.7796095540530086,,,,CamposEstadiosFutbol, 
4663799,Instalación Deportiva Municipal Básica Campo Aragón,,, campo de futbolvestuario,campo de futbol 11,futbol 11,"Metro: Miguel HernándezBus: 54 , 58 , 103 , 142 , 143 , 144",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cba58203c8485110VgnVCM1000000b205a0aRCRD,RAFAEL ALBERTI,AVENIDA,V,2,,,,,MADRID,MADRID,28038,4,PALOMERAS SURESTE,13,PUENTE DE VALLECAS,446016,4471719,40.39244393012934,-3.6373799409076795,,,,CamposEstadiosFutbol, 
4660583,Instalación Deportiva Municipal Básica Campo Fútbol Puerta Bonita,,, campo de futbol,campo de futbol 11,futbol 11,"Metro: OportoBus: 34 , 35 , 81 , 55 , 108 , 118.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=be23d10fd4f65110VgnVCM1000000b205a0aRCRD,GENERAL RICARDOS,CALLE,V,166,,,,,MADRID,MADRID,28025,4,VISTA ALEGRE,11,CARABANCHEL,437797,4471076,40.3879590752267,-3.7328892106296774,,,,CamposEstadiosFutbol, 
4629951,Instalación Deportiva Municipal Básica Campo de Fútbol Rodríguez Sahagún,,,campo de futbol (cesped artificial),campo de futbol 11,futbol 11,"Bus: 49 , 128",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fc3fdfd39c794110VgnVCM1000000b205a0aRCRD,CAPITAN BLANCO ARGIBAY,CALLE,V,S/N,,,,c/v Cº del Chorrillo,MADRID,MADRID,28029,5,VALDEACEDERAS,6,TETUAN,439791,4480281,40.469137606839034,-3.7115353164247873,,,,CamposEstadiosFutbol, 
4542543,Instalación Deportiva Municipal Básica Campo de Fútbol San Martín de Porres,,, campo de futbol,campo de futbol 11,futbol 11,"Bus: 17, 25",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=417aa1c3a9e61110VgnVCM1000000b205a0aRCRD,ERMITA DEL SANTO,PASEO,V,S/N,,,,Parque de San Isidro,MADRID,MADRID,28019,3,SAN ISIDRO,11,CARABANCHEL,437813,4472356,40.39949108577098,-3.732825709268183,,,,CamposEstadiosFutbol, 
4664929,Instalación Deportiva Municipal Básica Campo de Fútbol Tierra,,, campo de futbol,campo de futbol 11,futbol 11,"Metro: ArtillerosBus: 30 , 32 , 71",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4ba3fa5ace85110VgnVCM1000000b205a0aRCRD,DOCTOR GARCIA TAPIA,AVENIDA,V,113,,,,,MADRID,MADRID,28030,3,MARROQUINA,14,MORATALAZ,445569,4473842,40.41154005341027,-3.6428284510152453,,,,CamposEstadiosFutbol, 
11386717,Instalación Deportiva Municipal Básica Campo de fútbol Orcasitas,,, campo de futbol (cesped artificial),campo de futbol 11,futbol 11,"Bus: 6 , 60 , 131. Renfe: Orcasitas.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=94d96bdaa0149710VgnVCM1000001d4a900aRCRD,RAFAELA YBARRA,AVENIDA,V,119,,,,,MADRID,MADRID,28041,1,ORCASITAS,12,USERA,439542,4468758,40.36720552010195,-3.71208812822708,,,,CamposEstadiosFutbol, 
4542086,Instalación Deportiva Municipal Básica Canillas - Club Deportivo Canillas,,, campo de futbol (cesped artificial con  marcajes de futbol ) campo de futbol  (cesped artificial),campo de futbol 11,futbol 11,"Metro: Pinar del ReyBus: 9 , 72 , 87",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=250cfb7f34a61110VgnVCM1000000b205a0aRCRD,AGUSTIN DE ITURBIDE,CALLE,V,1,,,,,MADRID,MADRID,28043,4,PINAR DEL REY,16,HORTALEZA,445010,4479966,40.46854356477104,-3.6486680716819206,,,,CamposEstadiosFutbol, 
4542086,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5869345,Instalación Deportiva Municipal Básica Casa Campo I Lago,,, campo de futbol,campo de futbol 11,futbol 11,Metro: Lago.,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=89a00e5f50e5c210VgnVCM1000000b205a0aRCRD,CASA DE CAMPO,PARQUE,V,s/n,,,,Explanada junto al lago,MADRID,MADRID,28011,1,CASA DE CAMPO,9,MONCLOA-ARAVACA,438167,4474692,40.41867020566187,-3.730157679235435,,,,CamposEstadiosFutbol, 
5869829,Instalación Deportiva Municipal Básica Casa Campo II Teleférico,,, campo de futbol,campo de futbol 11,futbol 11,Metro: Lago.,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=492b2a3349e5c210VgnVCM1000000b205a0aRCRD,CASA DE CAMPO,PARQUE,V,s/n,,,,Subida al teleférico-Pza. Casón,MADRID,MADRID,28011,1,CASA DE CAMPO,9,MONCLOA-ARAVACA,437527,4474968,40.42111772146607,-3.737716485663515,,,,CamposEstadiosFutbol, 
5869871,Instalación Deportiva Municipal Básica Casa Campo III,,, campo de futbol,campo de futbol 11,futbol 11,"Bus: 41 , 75.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5e42a3349e5c210VgnVCM1000000b205a0aRCRD,CASA CAMPO,PARQUE,V,S/N,,,,Paseo Piñoneros - junto a pirámide,MADRID,MADRID,28008,1,CASA DE CAMPO,9,MONCLOA-ARAVACA,437758,4475580,40.42663911970955,-3.735065416489925,,,,CamposEstadiosFutbol, 
5870126,Instalación Deportiva Municipal Básica Casa Campo IV,,, campo de futbol campo de futbol ,campo de futbol 11,futbol 11,"Bus: 41 , 46 , 75.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4887e5021ce5c210VgnVCM1000000b205a0aRCRD,CASA CAMPO,PARQUE,V,S/N,,,,Junto a la M-30 a la altura del C.D.M. José María Cagigal,MADRID,MADRID,28008,1,CASA DE CAMPO,9,MONCLOA-ARAVACA,437408,4476161,40.43184675866799,-3.739236682144013,,,,CamposEstadiosFutbol, 
5870126,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4579728,Instalación Deportiva Municipal Básica Castroserna,,, campo de futbol (de tierra) tenis de mesa,campo de futbol 11,futbol 11,"Metro: LuceroBus: 31 , 55 , 138",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4ab5ec5543ea2110VgnVCM2000000c205a0aRCRD,CASTROSERNA,CALLE,V,2,,,,,MADRID,MADRID,28047,3,LUCERO,10,LATINA,436407,4472704,40.40251081513204,-3.7494274010896342,,,,CamposEstadiosFutbol, 
4581453,Instalación Deportiva Municipal Básica Cerro Cabezuelos,,, campo de futbolvestuario,campo de futbol 11,futbol 11,"Bus: 10 , 57 , 136 , 144 , 310 , 410",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a2690aec7b7b2110VgnVCM1000000b205a0aRCRD,VILLALOBOS,CALLE,V,46,,,,,MADRID,MADRID,28018,4,PALOMERAS SURESTE,13,PUENTE DE VALLECAS,444754,4470313,40.379694900594856,-3.6521267878318002,,,,CamposEstadiosFutbol, 
4556411,Instalación Deportiva Municipal Básica Club Deportivo Alzola,,, campo de futbol,campo de futbol 11,futbol 11,"Bus: 6 , 60 , 131.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=25494bb2984e1110VgnVCM1000000b205a0aRCRD,SEGURA,CALLE,V,74,,,,"c/v Gainza, 22",MADRID,MADRID,28041,1,ORCASITAS,12,USERA,439033,4469053,40.36794449938085,-3.7193980638250013,,,,CamposEstadiosFutbol, 
5940483,Instalación Deportiva Municipal Básica Cocheras (Ciudad Lineal),,, campo de futbol,campo de futbol 11,futbol 11,"Bus: 15 , 28 , 71 , 110 , 113 , 210.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0aca0c7f53bed210VgnVCM1000000b205a0aRCRD,SAN LAMBERTO,CALLE,V,s/n,,,,,MADRID,MADRID,28017,1,VENTAS,15,CIUDAD LINEAL,445018,4475056,40.42244010701552,-3.6494391609819576,,,,CamposEstadiosFutbol, 
4579784,Instalación Deportiva Municipal Básica Concejal Gabriel Fernández (Parque Cuña Verde),,, campo de futbol  campos de futbol  (cesped artificial)  pistas de polideportivas (baloncesto y ecuavoley) tenis de mesa,campo de futbol 11,futbol 11,"Metro: LagunaBus: 25 , 31 , 55 , 119 , 138.Renfe: Laguna",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=df6fb1d084ea2110VgnVCM2000000c205a0aRCRD,CUART DE POBLET,CALLE,V,6,,,,c/v Duquesa de Parcent,MADRID,MADRID,28047,3,LUCERO,10,LATINA,436305,4472321,40.39717971610274,-3.7518546091873803,,,,CamposEstadiosFutbol, 
4579784,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555783,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5785236,Instalación Deportiva Municipal Básica El Capricho I,,, campo de futbol (cesped artificial)   campo de futbol ,campo de futbol 11,futbol 11,"Metro: El Capricho.Bus: 101 , 105 , 151.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=57308be7ed48a210VgnVCM2000000c205a0aRCRD,ALAMEDA DE OSUNA,PASEO,V,48,,,,,MADRID,MADRID,28042,1,ALAMEDA DE OSUNA,21,BARAJAS,449179,4478356,40.45430519267116,-3.599375619694702,,,,CamposEstadiosFutbol, 
5785236,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4548146,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4540393,Instalación Deportiva Municipal Básica Esperanza I - Club Virgen de la Esperanza,,, campo de futbol (de cesped artificial con  marcajes de f,campo de futbol 11,futbol 11,"Metro: EsperanzaBus: 120 , 122.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=414fdc7deb551110VgnVCM1000000b205a0aRCRD,SILVANO,CALLE,V,65,,,,,MADRID,MADRID,28043,3,CANILLAS,16,HORTALEZA,445541,4479006,40.45993986921884,-3.642319354553547,,,,CamposEstadiosFutbol, 
4540393,,,, campo de futbol  (de cesped artificial),campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4528794,Instalación Deportiva Municipal Básica Estanque de las Tormentas,,, campo de futbol ,campo de futbol 11,futbol 11,"Bus: 160 , 161 , I.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e33d50aa44301110VgnVCM1000000b205a0aRCRD,ARROYO DE POZUELO,CALLE,V,S/N,,,,,MADRID,MADRID,28023,7,ARAVACA,9,MONCLOA-ARAVACA,433691,4478442,40.45211512813871,-3.7832937390386396,,,,CamposEstadiosFutbol, 
