PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,pistas,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TIPO
11353987,Instalación Deportiva  Básica Embalse de San Juan,,,Pista de baloncesto. Pista de fútbol sala.,"Pista de baloncesto ,Pista de fútbol ","Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa29f533a3468710VgnVCM1000001d4a900aRCRD,embalse de san juan,1,MADRID,MADRID,28051,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,449213,4468179,40.36264285659688,-3.5981484314802064,InstalacionesDeportivasBasicas
6344681,Instalación Deportiva Básica Alto del Retiro,,,Pista polideportiva (marcajes de fútbol sala y balonmano) Pista baloncesto,Pista polideportiva,Metro: Las Suertes,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a7c2150461f5310VgnVCM1000000b205a0aRCRD,alto del retiro,13,MADRID,MADRID,28051,CASCO H.VALLECAS,VILLA DE VALLECAS,450057,4468715,40.36751469466709,-3.588264644913803,InstalacionesDeportivasBasicas
11350944,Instalación Deportiva Básica Avenida de Cerro Milano,,,Pista de baloncesto. Pista de fútbol,"Pista de baloncesto ,Pista de fútbol ",Metro: CongostoBus: 142,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3ccd112cde58710VgnVCM1000001d4a900aRCRD,cerro milano,1,MADRID,MADRID,28051,CASCO H.VALLECAS,VILLA DE VALLECAS,447502,4468855,40.36861899124304,-3.618356801446381,InstalacionesDeportivasBasicas
11350990,Instalación Deportiva Básica Avenida de las Suertes,,,Pista de baloncesto. Pista polideportiva (marcajes de fútbol sala y voleibol).,"Pista de baloncesto ,Pista polideportiva",Metro: Las Suertes,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b777d112cde58710VgnVCM1000001d4a900aRCRD,avenida de las suertes,0,MADRID,MADRID,28051,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,448037,4469037,40.370297266524084,-3.6120673755658,InstalacionesDeportivasBasicas
11350948,Instalación Deportiva Básica Avenida del Ensanche de Vallecas,,,Pista de baloncesto. Pista de fútbol. Pista de skate.,"Pista de baloncesto ,Pista de fútbol ,Pista de skate ",Metro: Las Suertes,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=867fd112cde58710VgnVCM1000001d4a900aRCRD,ensanche de vallecas,11,MADRID,MADRID,28051,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,448037,4469037,40.370297266524084,-3.6120673755658,InstalacionesDeportivasBasicas
4540130,Instalación Deportiva Básica Camino de la Suerte,,,Pista de fútbol  de césped artificial.  Pista de fútbol  de tierra (próximamente de césped artificial).,"Pista de fútbol ,Pista de fútbol ","Metro: CongostoBus: 54 , 142.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a6fd908b7551110VgnVCM1000000b205a0aRCRD,suerte,25,MADRID,MADRID,28031,CASCO H.VALLECAS,VILLA DE VALLECAS,447596,4469654,40.375813783817236,-3.617327043456161,CamposEstadiosFutbol
4540101,Instalación Deportiva Básica Circuito de Automodelismo,,,Pista de automodelismo,Pista de automodelismo ,"Metro: CongostoBus: 54 , 142",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cee0b2e617551110VgnVCM1000000b205a0aRCRD,navamures,2,MADRID,MADRID,28031,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,446796,4469329,40.3728517892704,-3.6267051095385274,InstalacionesDeportivasBasicas
4538536,Instalación Deportiva Básica Colonia Vilda,,," Pistas polideportivas, (marcajes de fútbol sala y balonmano y  baloncestos transversales).",Pista polideportiva,"Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=617f55fdb3b41110VgnVCM1000000b205a0aRCRD,puentelarra,1,MADRID,MADRID,28031,SANTA EUGENIA,VILLA DE VALLECAS,448172,4470286,40.38154336396018,-3.6105817910016826,InstalacionesDeportivasBasicas
11352297,Instalación Deportiva Básica Eduardo Chillida,,,Pista de baloncesto y fútbol.,Pista de baloncesto ,"Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c981763979368710VgnVCM1000001d4a900aRCRD,eduardo chillida,1,MADRID,MADRID,28051,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,450323,4468214,40.36302244550467,-3.585074019427532,InstalacionesDeportivasBasicas
10925321,Instalación Deportiva Básica Jardines del Teniente Alcalde,,,Pista polideportiva Pista de hockey Área multideportiva infantil,"Pista de hockey ,Pista polideportiva","Metro: Islas Filipinas, Canal Bus: 2, 12, 202",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=59182c579bdd9610VgnVCM2000001f4a900aRCRD,jardines del teniente alcalde,49,MADRID,MADRID,28003,VALLEHERMOSO,CHAMBERI,440261,4476761,40.43935627177327,-3.704371546221416,InstalacionesDeportivasBasicas
