PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,pistas,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TIPO
4538305,Instalación Deportiva Básica La Unión,,,Unidades deportivas cubiertas:   Pistas de pádel.    Unidades deportivas al aire libre:  Pista de fútbol  de césped artificial.,"Pistas de pádel ,Pista de fútbol ","Bus: 58 , 63 , 145",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=773aaae91fa41110VgnVCM1000000b205a0aRCRD,enrique garcia alvarez,58,MADRID,MADRID,28031,SANTA EUGENIA,VILLA DE VALLECAS,447810,4470500,40.383448627578446,-3.6148637823176353,CamposEstadiosFutbol
4538164,Instalación Deportiva Básica Nuestra Señora de la Torre,,, Pistas de Fútbol (césped artificial),Pista de fútbol ,"Metro: Villa de VallecasBus: 54 , 58 , 142",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=de89a56418a41110VgnVCM1000000b205a0aRCRD,puerto de reinosa,2,MADRID,MADRID,28031,CASCO H.VALLECAS,VILLA DE VALLECAS,447705,4469952,40.37850528372228,-3.6160557738839376,CamposEstadiosFutbol
4539403,Instalación Deportiva Básica P.A.R. Castrillo de Aza,,,Pista de baloncesto,Pista de baloncesto ,"Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a554a9b438051110VgnVCM1000000b205a0aRCRD,santa eugenia,1,MADRID,MADRID,28031,SANTA EUGENIA,VILLA DE VALLECAS,448343,4470808,40.38626820789469,-3.6086007213101885,InstalacionesDeportivasBasicas
11354193,Instalación Deportiva Básica Parkour,,,Pista de parkour. Pista de calistenia. Pista de baloncesto. Pista de patinaje.,"Pista de parkour.,Pista de calistenia.,Pista de baloncesto ,Pista de patinaje ","Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=371ef533a3468710VgnVCM1000001d4a900aRCRD,la gavia,39,MADRID,MADRID,28051,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,447918,4469016,40.37009915307182,-3.6134620847270176,InstalacionesDeportivasBasicas
5542270,Instalación Deportiva Básica Parque Real de Arganda,,, Pista de fútbol sala.,Pista de fútbol ,Metro: Villa de VallecasBus: 58,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c497740efc26210VgnVCM1000000b205a0aRCRD,real de arganda,45,MADRID,MADRID,28031,SANTA EUGENIA,VILLA DE VALLECAS,447786,4470059,40.37949103344629,-3.6150999353765094,InstalacionesDeportivasBasicas
4539259,Instalación Deportiva Básica Parque Santa Eugenia,,,Pista de skate,Pista de skate ,"Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2204a086b3051110VgnVCM1000000b205a0aRCRD,zazuar,12,MADRID,MADRID,28031,SANTA EUGENIA,VILLA DE VALLECAS,448352,4470258,40.38131130575197,-3.608459149580722,InstalacionesDeportivasBasicas
11358733,Instalación Deportiva Básica Parque Villa de Vallecas,,,Pista de fútbol sala.  Pistas de baloncesto (transversales). Pista de skate.,"Pista de fútbol ,Pista de baloncesto ,Pista de skate ","Metro: CongostoBus: 54 , 130 , 142",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7a14291fa9288710VgnVCM1000001d4a900aRCRD,puerto de porzuna,50,MADRID,MADRID,28031,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,446909,4469321,40.37277996162931,-3.6253783281885656,InstalacionesDeportivasBasicas
10923929,Instalación Deportiva Básica Parque de Enrique Herreros,,,Pista de baloncesto,Pista de baloncesto ,"Metro: Islas Filipinas, Canal Bus: 2, 12, 202",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1aa8cde26f7d9610VgnVCM1000001d4a900aRCRD,bravo murillo,49,MADRID,MADRID,28003,VALLEHERMOSO,CHAMBERI,440261,4476761,40.43935627177327,-3.704371546221416,InstalacionesDeportivasBasicas
11360319,Instalación Deportiva Básica Parque del Cementerio,,,Pista polideportiva (marcajes de fútbol sala y  baloncestos transversales). Pista de fútbol sala.,"Pista de fútbol ,Pista polideportiva","Metro: Villa de VallecasBus: 54 , 142",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cd020c3bf9f98710VgnVCM2000001f4a900aRCRD,montes de barbanza,15,MADRID,MADRID,28031,CASCO H.VALLECAS,VILLA DE VALLECAS,447495,4469796,40.37710310380217,-3.6185063391325323,CamposEstadiosFutbol
11358753,Instalación Deportiva Básica Parroquia Santa Eugenia,,,Pista de fútbol sala,Pista de fútbol ,"Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=39a4291fa9288710VgnVCM1000001d4a900aRCRD,virgen de las vi&amp;ntilde;as,15,MADRID,MADRID,28031,SANTA EUGENIA,VILLA DE VALLECAS,448367,4470121,40.38008195615357,-3.608267379645755,InstalacionesDeportivasBasicas
11358766,Instalación Deportiva Básica Peñaranda de Bracamonte,,,Pista de baloncesto. Pista polideportiva (marcajes de fútbol sala y balonmano).,"Pista de baloncesto ,Pista polideportiva",Metro: CongostoBus: 142,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=52e5291fa9288710VgnVCM1000001d4a900aRCRD,peñaranda de bracamonte,4,MADRID,MADRID,28051,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,448710,4469592,40.37533906377627,-3.604183911642277,InstalacionesDeportivasBasicas
11358784,Instalación Deportiva Básica Pista de Patinaje,,,Pista de patinaje,Pista de patinaje ,"Metro: CongostoBus: 54 , 130 , 142",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1a96291fa9288710VgnVCM1000001d4a900aRCRD,puerto de porzuna,0,MADRID,MADRID,28031,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,446909,4469321,40.37277996162931,-3.6253783281885656,PistasPatinaje
4540082,Instalación Deportiva Básica Poza de la Sal,,,Pista de baloncesto,Pista de baloncesto ,"Bus: 58 , 63 , 145",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=94376b6506551110VgnVCM1000000b205a0aRCRD,poza de la sal,2,MADRID,MADRID,28031,SANTA EUGENIA,VILLA DE VALLECAS,448816,4470012,40.37912373319082,-3.6029851282692733,InstalacionesDeportivasBasicas
4539953,Instalación Deportiva Básica Puentelarra,,,Pista de baloncesto  x ,Pista de baloncesto ,"Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2716c39144551110VgnVCM1000000b205a0aRCRD,puentelarra,12,MADRID,MADRID,28031,SANTA EUGENIA,VILLA DE VALLECAS,448296,4470473,40.38324470241852,-3.6091362899378696,InstalacionesDeportivasBasicas
6344730,Instalación Deportiva Básica Rocódromo,,,Pista skate Boulder Monolito,,Metro: Las Suertes,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a2f8d4eb171f5310VgnVCM1000000b205a0aRCRD,la gavia,4,MADRID,MADRID,28051,CASCO H.VALLECAS,VILLA DE VALLECAS,448309,4469756,40.37678620920142,-3.608936762154641,InstalacionesDeportivasBasicas
11359398,Instalación Deportiva Básica Santa Eugenia,,, Pistas de fútbol (césped artificial),Pista de fútbol ,"Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2a57671143788710VgnVCM1000001d4a900aRCRD,cerro de almodovar,11,MADRID,MADRID,28031,SANTA EUGENIA,VILLA DE VALLECAS,448941,4470114,40.38004993117393,-3.6015066796262865,CamposEstadiosFutbol
11358863,Instalación Deportiva Básica Skate Real de Arganda,,,Bowl Pista de skate,Pista de skate ,Metro: Villa de VallecasBus: 58,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa2a6635ec288710VgnVCM1000001d4a900aRCRD,real de arganda,49,MADRID,MADRID,28031,SANTA EUGENIA,VILLA DE VALLECAS,447786,4470059,40.37949103344629,-3.6150999353765094,InstalacionesDeportivasBasicas
11358872,Instalación Deportiva Básica Stela Maris,,,Pista de baloncesto y fútbol,Pista de baloncesto ,Metro: CongostoBus: 142,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=346a6635ec288710VgnVCM1000001d4a900aRCRD,peñaranda de bracamonte,4,MADRID,MADRID,28051,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,448710,4469592,40.37533906377627,-3.604183911642277,InstalacionesDeportivasBasicas
4642625,Instalación Deportiva Municipal Básica Abrantes - Colonia Velázquez,,, Pista de fútbol,Pista de fútbol ,"Metro: Pan Bendito, San Francisco.Bus: 47 , 108 , 118 , 121 , 131 , 155.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=06d068171cef4110VgnVCM1000000b205a0aRCRD,abrantes,297,MADRID,MADRID,28025,ABRANTES,CARABANCHEL,437625,4469626,40.37480368698169,-3.734643175737238,CamposEstadiosFutbol
4554452,Instalación Deportiva Municipal Básica Alameda de Osuna I,,, Pistas de Baloncesto,Pista de baloncesto ,"Metro: El Capricho.Bus: 77 , 101 , 112 , 114 , 115 , 151.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3560735dead1110VgnVCM1000000b205a0aRCRD,balandro,1,MADRID,MADRID,28042,ALAMEDA DE OSUNA,BARAJAS,449924,4478011,40.451251451000815,-3.5905626839548366,InstalacionesDeportivasBasicas
4555959,Instalación Deportiva Municipal Básica Alas,,, Pista de fútbol sala Pista de baloncesto Pistas de petanca,"Pista de fútbol ,Pista de baloncesto ,Pista de petanca ","Metro: BarajasBus: 101 , 105 , 115 , 151",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d67d5c51350e1110VgnVCM1000000b205a0aRCRD,alas,2,MADRID,MADRID,28042,TIMON,BARAJAS,450428,4480316,40.472046513237736,-3.5847993053542355,CamposEstadiosFutbol
4557041,Instalación Deportiva Municipal Básica Albaicín,,, Pista de baloncesto,Pista de baloncesto ,"Bus: 60 , 76 , 78 , 81 , 116.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6e518d498a5e1110VgnVCM1000000b205a0aRCRD,albaicin,19,MADRID,MADRID,28041,ORCASUR,USERA,440477,4469068,40.36818417178253,-3.7023924767814074,InstalacionesDeportivasBasicas
4557439,Instalación Deportiva Municipal Básica Albaida,,, Patinódromo,,"Metro: Simancas , San BlasBus: 38 , 48",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=040cbad143ae1110VgnVCM1000000b205a0aRCRD,albaida,0,MADRID,MADRID,28037,HELLIN,SAN BLAS-CANILLEJAS,447522,4475904,40.430241502639134,-3.619981910665231,PistasPatinaje
4528002,Instalación Deportiva Municipal Básica Alcalde Martín de Alzaga,,, Pista de baloncesto,Pista de baloncesto ,"Metro: ValdezarzaBus: 64, 126, 127, 132",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4257664d01ef0110VgnVCM1000000b205a0aRCRD,alcalde martin de alzaga,0,MADRID,MADRID,28039,VALDEZARZA,MONCLOA-ARAVACA,439396,4479597,40.46295611393323,-3.7161291203374565,InstalacionesDeportivasBasicas
4557476,Instalación Deportiva Municipal Básica Alerce,,, Pista polideportiva,Pista polideportiva,"Bus:  23 , 76 , 78 , 116 , 123.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=42ae586285ae1110VgnVCM1000000b205a0aRCRD,alerce,31,MADRID,MADRID,28041,ORCASUR,USERA,441064,4468717,40.365063948772985,-3.695446430865286,InstalacionesDeportivasBasicas
4527220,Instalación Deportiva Municipal Básica Alfonso XIII,,, pistas de baloncesto. pista de patinaje. Pistas de bolos y petanca.,"Pista de baloncesto ,Pista de patinaje ,Pista de bolos ","Bus: 7 , 11 , 40 , 52 , 87",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ea63124827ee0110VgnVCM1000000b205a0aRCRD,alfonso xiii,136,MADRID,MADRID,28016,NUEVA ESPAÑA,CHAMARTIN,443267,4479019,40.45990434942118,-3.669142805075655,PistasPatinaje
4556014,Instalación Deportiva Municipal Básica Alhaurín,,, Pista de baloncesto Pista de fútbol  (de tierra),"Pista de baloncesto ,Pista de fútbol ","Metro: Barajas.Bus: 105 , 115 , 151.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=acda62a9470e1110VgnVCM1000000b205a0aRCRD,alhaurin,4,MADRID,MADRID,28042,TIMON,BARAJAS,450357,4480479,40.47351067334567,-3.585649589064375,InstalacionesDeportivasBasicas
4542702,Instalación Deportiva Municipal Básica Alicún,,, Pista de baloncesto.,Pista de baloncesto ,"Metro: ManoterasBus: 7 , 29 , 129",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4c4d7e93dee61110VgnVCM1000000b205a0aRCRD,alicun,24,MADRID,MADRID,28033,APOSTOL SANTIAGO,HORTALEZA,444053,4481394,40.47947157886463,-3.6613616462578946,InstalacionesDeportivasBasicas
4542003,Instalación Deportiva Municipal Básica Aliseda,,,Superficie:  M  Equipamientos:  Pista polideportiva,Pista polideportiva,"Metro: San Francisco.Bus: 47 , 108 , 118",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d5e92f9841a61110VgnVCM1000000b205a0aRCRD,aliseda,0,MADRID,MADRID,28025,PUERTA BONITA,CARABANCHEL,437017,4469768,40.3761084833036,-3.74193729795335,CamposEstadiosFutbol
4548436,Instalación Deportiva Municipal Básica Almudena,,, Pista de fútbol Pista polideportiva,"Pista de fútbol ,Pista polideportiva","Bus: 70 , 106",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b6ed945136891110VgnVCM1000000b205a0aRCRD,nicolas salmeron,8,MADRID,MADRID,28017,PUEBLO NUEVO,CIUDAD LINEAL,446692,4474672,40.41909002674735,-3.6296630675589197,CamposEstadiosFutbol
4556653,Instalación Deportiva Municipal Básica Ambulatorio (El Paraiso),,, Pista de fútbol sala Pistas de baloncesto Pistas de petancaSkatepark,"Pista de fútbol ,Pista de baloncesto ,Pistas de petanca","Metro: SimancasBus:  4 , 38 , 48 , 70 , 109",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d0822414d35e1110VgnVCM1000000b205a0aRCRD,ajofrin,0,MADRID,MADRID,28037,AMPOSTA,SAN BLAS-CANILLEJAS,447036,4475393,40.425607242600144,-3.6256685841403025,CamposEstadiosFutbol
5695851,Instalación Deportiva Municipal Básica Americio,,, Pista de baloncesto.,Pista de baloncesto ,"Bus: 85 , 123.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=061c880b0aab8210VgnVCM2000000c205a0aRCRD,americio,0,MADRID,MADRID,28021,BUTARQUE,VILLAVERDE,442134,4467729,40.356238545684384,-3.6827549805431934,InstalacionesDeportivasBasicas
6310149,Instalación Deportiva Municipal Básica Ana Tutor,,, Pista de patinaje Pista de fútbol-sala,"Pista de patinaje ,Pista de Fútbol-Sala ","Metro: Avda. de la IlustraciónBus: 133, 49, 64, 83",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bce62b6315d35310VgnVCM2000000c205a0aRCRD,cardenal herrera oria,216,MADRID,MADRID,28034,VALVERDE,FUENCARRAL-EL PARDO,441817,4482467,40.49087287315406,-3.6865580970863947,CamposEstadiosFutbol
4584548,Instalación Deportiva Municipal Básica Andévalo,,, Pista de balonmano,Pista de balonmano ,"Bus: 102 , 103 , 111",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c8c6ed32dd2c2110VgnVCM1000000b205a0aRCRD,andevalo,6,MADRID,MADRID,28053,ENTREVIAS,PUENTE DE VALLECAS,443382,4469736,40.374404666864585,-3.668237382541929,InstalacionesDeportivasBasicas
4547544,Instalación Deportiva Municipal Básica Anfevi,,,Pista de fútbol sala Pistas de baloncesto,"Pista de fútbol ,Pista de baloncesto ","Metro: ArtillerosBus: 20 , 30 , 32 , 71 , 100 , 140.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3efff1c446391110VgnVCM2000000c205a0aRCRD,hacienda de pavones,127,MADRID,MADRID,28030,VINATEROS,MORATALAZ,445796,4472941,40.403438145048085,-3.6400762544982834,InstalacionesDeportivasBasicas
4527275,Instalación Deportiva Municipal Básica Aniceto Marinas,,, Pista de Baloncesto,Pista de baloncesto ,"Bus: 41 , 46 , 75",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=20f7c57598ee0110VgnVCM1000000b205a0aRCRD,aniceto marinas,106,MADRID,MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,437884,4476086,40.43121588404326,-3.7336179867525616,InstalacionesDeportivasBasicas
4528176,Instalación Deportiva Municipal Básica Antonio Machado,,, Pista de Baloncesto,Pista de baloncesto ,"Metro: ValdezarzaBus: 126 , 127 , 132",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b37f532996ef0110VgnVCM1000000b205a0aRCRD,antonio machado,14,MADRID,MADRID,28035,VALDEZARZA,MONCLOA-ARAVACA,439149,4479944,40.46606393146319,-3.71907563377333,InstalacionesDeportivasBasicas
4548451,Instalación Deportiva Municipal Básica Antonio Pirala,,, Pista de fútbol sala Pistas de baloncesto,"Pista de fútbol ,Pista de baloncesto ","Metro: Ventas , El Carmen.Bus: 12 , 21 , 38 , 53 , 106 , 110 , 146 , 210",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70b945dbd6891110VgnVCM1000000b205a0aRCRD,antonio pirala,0,MADRID,MADRID,28017,VENTAS,CIUDAD LINEAL,444154,4475985,40.43075144945157,-3.6596933792999025,CamposEstadiosFutbol
4557447,Instalación Deportiva Municipal Básica Arcaute,,," Pista polideportiva (con marcajes de fútbol sala, tenis y baloncesto)",Pista polideportiva,Bus: 77,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=59b6957e54ae1110VgnVCM1000000b205a0aRCRD,invierno,1,MADRID,MADRID,28022,REJAS,SAN BLAS-CANILLEJAS,451202,4477365,40.443627672731296,-3.576711464888384,InstalacionesDeportivasBasicas
4556739,Instalación Deportiva Municipal Básica Arcos de Jalón,,, Pista polideportiva Pistas de baloncesto Pista de voleibol Pista de patinaje,"Pista de baloncesto ,Pista de voleibol ,Pista de patinaje ,Pista polideportiva","Metro: San BlasBus: 4 , 38 , 48 , 140 , 153",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=352e8c86d45e1110VgnVCM1000000b205a0aRCRD,arcos de jalon,0,MADRID,MADRID,28037,ARCOS,SAN BLAS-CANILLEJAS,447860,4475237,40.42425405686439,-3.6159424880881414,PistasPatinaje
