ID,CALLE,DISTRITO,CODIGOPOSTAL,COORDENADA-X,COORDENADA-Y
442524.4565-4474275.764,"CALLE ALCALDE SAINZ DE BARANDA, 3",RETIRO,28009.0,442524.4565,4474275.764
442526.0-4473480.0,"MENENDEZ Y PELAYO, AV Nº0 PZA MARIANO DE CAVIA ESQ PZA MARIANO DE CAVIA",RETIRO,28007.0,442526.0,4473480.0
442528.2537-4476454.984,"CALLE GENERAL PARDIÑAS, 116",SALAMANCA,28006.0,442528.2537,4476454.984
442530.6717-4474904.318,"CALLE LOPE DE RUEDA, 14",SALAMANCA,28009.0,442530.6717,4474904.318
442531.44-4466193.65,"CALLE DEL BERROCAL, 42",VILLAVERDE,28041.0,442531.44,4466193.65
442531.51-4475185.6,"Calle  General Diaz Porlier, 9 ",SALAMANCA,28001.0,442531.51,4475185.6
442531.55-4475185.65,"Calle  General Diaz Porlier, 97 ",SALAMANCA,28001.0,442531.55,4475185.65
442534.175-4474533.548,"CALLE MENORCA, 15",RETIRO,28009.0,442534.175,4474533.548
442534.71-4472967.85,"Calle  Valderribas, 27 ",RETIRO,28007.0,442534.71,4472967.85
442535.6-4470233.65,"RONDA SUR, 77",PUENTE DE VALLECAS,28053.0,442535.6,4470233.65
442536.09-4477336.5,"Calle de Jose Pla , 68 esquina Calle de López de Hoyos",CHAMARTIN,28002.0,442536.09,4477336.5
442538.0369-4477881.383,"CALLE PRINCIPE DE VERGARA, 204",CHAMARTIN,28002.0,442538.0369,4477881.383
442538.1425-4472953.208,"CALLE VALDERRIBAS, 29",RETIRO,28007.0,442538.1425,4472953.208
442538.6777-4479065.674,"AVENIDA ALFONSO XIII, 153",CHAMARTIN,28016.0,442538.6777,4479065.674
442538.82-4470222.63,"RONDA SUR, 77",PUENTE DE VALLECAS,28053.0,442538.82,4470222.63
442539.4927-4475571.453,"CALLE DON RAMON DE LA CRUZ, 54",SALAMANCA,28001.0,442539.4927,4475571.453
442541.5514-4474763.122,"CALLE O'DONNELL, 16",RETIRO,28009.0,442541.5514,4474763.122
442542.86-4473231.85,"Calle de los  Reyes Magos ,  esquina Avenida del Mediterraneo",RETIRO,28007.0,442542.86,4473231.85
442545.15-4475034.09,"Calle  Lope de Rueda, 5 ",SALAMANCA,28009.0,442545.15,4475034.09
442545.6933-4472718.825,"CALLE ABTAO, 4",RETIRO,28007.0,442545.6933,4472718.825
442545.6933-4478534.57,"PLAZA REPUBLICA DEL ECUADOR, 8",CHAMARTIN,28016.0,442545.6933,4478534.57
442546.83-4465673.37,"CALLE DE VILLAVERDE A PERALES DEL RIO, 2",VILLAVERDE,28021.0,442546.83,4465673.37
442549.28-4483774.06,"CALLE PUENTE LA REINA, 48",FUENCARRAL-EL PARDO,28050.0,442549.28,4483774.06
442551.35-4480482.731,"CALLE BUGANVILLA, 13",CHAMARTIN,28046.0,442551.35,4480482.731
442552.1238-4476805.068,"CALLE PINILLA DEL VALLE, 4",CHAMARTIN,28002.0,442552.1238,4476805.068
442552.2058-4477616.591,"CALLE SUERO DE QUIÑONES, 38",CHAMARTIN,28002.0,442552.2058,4477616.591
442554.0-4474445.0,"MENENDEZ Y PELAYO, AV Nº0 FRENTE Nº 47 PZA MARIANO DE CAVIA",RETIRO,28009.0,442554.0,4474445.0
442554.1796-4475419.768,"CALLE AYALA, 88",SALAMANCA,28001.0,442554.1796,4475419.768
442554.9729-4475246.778,"CALLE GENERAL DIAZ PORLIER, 17",SALAMANCA,28001.0,442554.9729,4475246.778
442555.2325-4474395.711,"CALLE IBIZA, 12",RETIRO,28009.0,442555.2325,4474395.711
442555.51-4466009.76,"CALLE DE LA ESMALTINA, 13",VILLAVERDE,28021.0,442555.51,4466009.76
442555.7688-4476816.825,"PASAJE HOYO DE MANZANARES, 1",CHAMARTIN,28002.0,442555.7688,4476816.825
442556.88-4476666.012,"CALLE SAN FERNANDO DEL JARAMA, 6",CHAMARTIN,28002.0,442556.88,4476666.012
442558.36-4466215.76,"CALLE DEL BERROCAL, 9",VILLAVERDE,28041.0,442558.36,4466215.76
442561.46-4479640.132,"AVENIDA COMANDANTE FRANCO, 8",CHAMARTIN,28016.0,442561.46,4479640.132
442562.4019-4478406.742,"PLAZA REPUBLICA DEL ECUADOR, 1",CHAMARTIN,28016.0,442562.4019,4478406.742
442562.9525-4480340.062,"CALLE BUGANVILLA, 8",CHAMARTIN,28046.0,442562.9525,4480340.062
442566.71-4469961.78,"RONDA SUR, 125",PUENTE DE VALLECAS,28053.0,442566.71,4469961.78
442567.0367-4472561.985,"CALLE ALBERCHE, 14",RETIRO,28007.0,442567.0367,4472561.985
442567.0-4478614.0,"SERRANO, CALLE Nº215 ESQ C/VICTOR ANDRES BELAUNDE PZA  INDEPENDENCIA",CHAMARTIN,28016.0,442567.0,4478614.0
442567.23-4474750.22,"Calle  O'Donnell, 16 ",SALAMANCA,28009.0,442567.23,4474750.22
442569.97-4474441.76,"Calle   Ibiza, 15 ",RETIRO,28009.0,442569.97,4474441.76
442570.0736-4472419.397,"CALLE COCHERAS, 6",RETIRO,28007.0,442570.0736,4472419.397
442571.0-4472931.0,"CIUDAD DE BARCELONA, AV Nº49 - GTA CARLOS V",RETIRO,28007.0,442571.0,4472931.0
442571.45-4475523.9,"Calle  General Díaz Porlier, 41 ",SALAMANCA,28001.0,442571.45,4475523.9
442572.62-4478331.25,"Calle  Príncipe de Vergara, 248 ",CHAMARTIN,28016.0,442572.62,4478331.25
442575.7781-4477521.91,"CALLE SUERO DE QUIÑONES, 21",CHAMARTIN,28002.0,442575.7781,4477521.91
