TIPORESIDUO,WIKIDATA ITEM,TIPOCONTENEDOR
Arena de gato o similar,,RESTO
biodegradable bag,https://www.wikidata.org/wiki/Q4914747,ORGACNICA
Briks,https://www.wikidata.org/wiki/Q12304384,ENVASES
paper,https://www.wikidata.org/wiki/Q11472,PAPEL-CARTON
glass bottle,https://www.wikidata.org/wiki/Q5567094,VIDRIO
cooking oil,https://www.wikidata.org/wiki/Q427457,PUNTO LIMPIO FIJO
cooking oil,https://www.wikidata.org/wiki/Q427457,PUNTO LIMPIO MÓVIL
cooking oil,https://www.wikidata.org/wiki/Q427457,PUNTO LIMPIO DE PROXIMIDAD
battery,https://www.wikidata.org/wiki/Q267298,MARQUESINA PARADAS AUTOBÚS
clothing,https://www.wikidata.org/wiki/Q11460,CONTENEDOR DE RESIDUOS TEXTILES
Excrementos de animales domésticos,,RESTO
"Servilletas y papel manchadas de grasa, aceite o restos de comida",,ORGACNICA
plastic container,https://www.wikidata.org/wiki/Q41804911,ENVASES
"Todo tipo de envases de cartón o papel, como cajas de zapatos, cereales…",,PAPEL-CARTON
glass container,https://www.wikidata.org/wiki/Q5164895,VIDRIO
clothing,https://www.wikidata.org/wiki/Q11460,PUNTO LIMPIO FIJO
clothing,https://www.wikidata.org/wiki/Q11460,PUNTO LIMPIO MÓVIL
clothing,https://www.wikidata.org/wiki/Q11460,PUNTO LIMPIO DE PROXIMIDAD
"Bolsos, cinturones y complementos de vestir",,CONTENEDOR DE RESIDUOS TEXTILES
light bulb,https://www.wikidata.org/wiki/Q1318740,RESTO
Restos de frutas y verduras,,ORGACNICA
plastic container,https://www.wikidata.org/wiki/Q41804911,ENVASES
"Hojas, cuadernos, sobres (con sellos pegados inclusive), periódicos, revistas, y demás productos de papel y cartón",,PAPEL-CARTON
Frascos de vidrio con roll-on o atomizador,,VIDRIO
coffee capsule,https://www.wikidata.org/wiki/Q4236462,PUNTO LIMPIO FIJO
coffee capsule,https://www.wikidata.org/wiki/Q4236462,PUNTO LIMPIO MÓVIL
coffee capsule,https://www.wikidata.org/wiki/Q4236462,PUNTO LIMPIO DE PROXIMIDAD
Muñecos de peluche,,CONTENEDOR DE RESIDUOS TEXTILES
porcelain,https://www.wikidata.org/wiki/Q130693,RESTO
nut,https://www.wikidata.org/wiki/Q3320037,ORGACNICA
Envases de cosméticos de plástico,,ENVASES
Billetes de metro ,,PAPEL-CARTON
Envases de cosméticos de vidrio,,VIDRIO
Radiografías (50 unidades),,PUNTO LIMPIO FIJO
Radiografías (50 unidades),,PUNTO LIMPIO MÓVIL
Radiografías (50 unidades),,PUNTO LIMPIO DE PROXIMIDAD
latex,https://www.wikidata.org/wiki/Q244680,RESTO
food,https://www.wikidata.org/wiki/Q2095,ORGACNICA
"Envases de metales: aerosoles vacíos: desodorantes, limpiadores domésticos..., botes de bebidas, latas de conserva, platos y bandejas de aluminio, chapas y tapas de metal…",,ENVASES
Servilletas manchadas de polvo o húmedas de agua (sin manchar),,PAPEL-CARTON
"Frascos de colonia, esmaltes de uñas…",,VIDRIO
Aerosoles (10 unidades),,PUNTO LIMPIO FIJO
aerosol,https://www.wikidata.org/wiki/Q104541,PUNTO LIMPIO MÓVIL
aerosol,https://www.wikidata.org/wiki/Q104541,PUNTO LIMPIO DE PROXIMIDAD
Goma,,RESTO
Restos de carnes o pescados,,ORGACNICA
Tippex,,ENVASES
Sobres (plástico/papel),,PAPEL-CARTON
Recipientes velas vidrio,,VIDRIO
"Pilas alcalinas, salinas y baterías usadas",,PUNTO LIMPIO FIJO
"Pilas alcalinas, salinas y baterías usadas",,PUNTO LIMPIO MÓVIL
"Pilas alcalinas, salinas y baterías usadas",,PUNTO LIMPIO DE PROXIMIDAD
Pañales y compresas,,RESTO
Papel y cartón sucios de aceite,,ORGACNICA
"Cajas de madera, de vino, fresas, puros, estuches…",,ENVASES
Envoltorio de pan (de papel),,PAPEL-CARTON
Cartuchos de tinta y tóner (4 unidades),,PUNTO LIMPIO FIJO
Cartuchos de tinta y tóner (4 unidades),,PUNTO LIMPIO MÓVIL
Cartuchos de tinta y tóner (4 unidades),,PUNTO LIMPIO DE PROXIMIDAD
