,ID,TIPO,UBICACION,HORARIO
60,Contenedor de pilas-435155-4470826,CONTENEDOR DE PILAS,435155.0-4470826.0,24 horas
61,Contenedor de pilas-435177.7188-4470226.5,CONTENEDOR DE PILAS,435177.7188-4470226.5,24 horas
62,Contenedor de pilas-435241-4470952,CONTENEDOR DE PILAS,435241.0-4470952.0,24 horas
63,Contenedor de pilas-435318-4471750,CONTENEDOR DE PILAS,435318.0-4471750.0,24 horas
64,Contenedor de pilas-435321.0625-4472632,CONTENEDOR DE PILAS,435321.0625-4472632.0,24 horas
65,Contenedor de pilas-435366-4469596,CONTENEDOR DE PILAS,435366.0-4469596.0,24 horas
66,Contenedor de pilas-435385.875-4468635.5,CONTENEDOR DE PILAS,435385.875-4468635.5,24 horas
67,Contenedor de pilas-435389-4471981,CONTENEDOR DE PILAS,435389.0-4471981.0,24 horas
68,Contenedor de pilas-435411.8438-4471107.5,CONTENEDOR DE PILAS,435411.8438-4471107.5,24 horas
69,Contenedor de pilas-435508.1875-4468819,CONTENEDOR DE PILAS,435508.1875-4468819.0,24 horas
70,Contenedor de pilas-435516.75-4471116.5,CONTENEDOR DE PILAS,435516.75-4471116.5,24 horas
71,Contenedor de pilas-435518-4471865,CONTENEDOR DE PILAS,435518.0-4471865.0,24 horas
72,Contenedor de pilas-435528-4470945,CONTENEDOR DE PILAS,435528.0-4470945.0,24 horas
73,Contenedor de pilas-435557.0938-4469211,CONTENEDOR DE PILAS,435557.0938-4469211.0,24 horas
74,Contenedor de pilas-435599-4471151.5,CONTENEDOR DE PILAS,435599.0-4471151.5,24 horas
75,Contenedor de pilas-435631-4473088,CONTENEDOR DE PILAS,435631.0-4473088.0,24 horas
76,Contenedor de pilas-435668.8438-4469541,CONTENEDOR DE PILAS,435668.8438-4469541.0,24 horas
77,Contenedor de pilas-435677-4472877,CONTENEDOR DE PILAS,435677.0-4472877.0,24 horas
78,Contenedor de pilas-435712.6875-4471480.5,CONTENEDOR DE PILAS,435712.6875-4471480.5,24 horas
79,Contenedor de pilas-435729.5313-4468449.5,CONTENEDOR DE PILAS,435729.5313-4468449.5,24 horas
80,Contenedor de pilas-435753-4469128,CONTENEDOR DE PILAS,435753.0-4469128.0,24 horas
81,Contenedor de pilas-435777-4470903,CONTENEDOR DE PILAS,435777.0-4470903.0,24 horas
82,Contenedor de pilas-435782.875-4471997,CONTENEDOR DE PILAS,435782.875-4471997.0,24 horas
83,Contenedor de pilas-435783.4375-4471014.5,CONTENEDOR DE PILAS,435783.4375-4471014.5,24 horas
84,Contenedor de pilas-435786-4470612,CONTENEDOR DE PILAS,435786.0-4470612.0,24 horas
85,Contenedor de pilas-435808.5313-4469607.5,CONTENEDOR DE PILAS,435808.5313-4469607.5,24 horas
86,Contenedor de pilas-435826.5625-4468485,CONTENEDOR DE PILAS,435826.5625-4468485.0,24 horas
87,Contenedor de pilas-435905.9375-4471243,CONTENEDOR DE PILAS,435905.9375-4471243.0,24 horas
88,Contenedor de pilas-435943-4470230,CONTENEDOR DE PILAS,435943.0-4470230.0,24 horas
89,Contenedor de pilas-435957-4472440,CONTENEDOR DE PILAS,435957.0-4472440.0,24 horas
90,Contenedor de pilas-435963-4471531,CONTENEDOR DE PILAS,435963.0-4471531.0,24 horas
91,Contenedor de pilas-435967.0938-4471777.5,CONTENEDOR DE PILAS,435967.0938-4471777.5,24 horas
92,Contenedor de pilas-436004-4470873,CONTENEDOR DE PILAS,436004.0-4470873.0,24 horas
93,Contenedor de pilas-436011-4471727,CONTENEDOR DE PILAS,436011.0-4471727.0,24 horas
94,Contenedor de pilas-436025-4473327,CONTENEDOR DE PILAS,436025.0-4473327.0,24 horas
95,Contenedor de pilas-436033.875-4468467,CONTENEDOR DE PILAS,436033.875-4468467.0,24 horas
96,Contenedor de pilas-436039-4472130,CONTENEDOR DE PILAS,436039.0-4472130.0,24 horas
97,Contenedor de pilas-436047-4469531,CONTENEDOR DE PILAS,436047.0-4469531.0,24 horas
98,Contenedor de pilas-436083.0625-4472706,CONTENEDOR DE PILAS,436083.0625-4472706.0,24 horas
99,Contenedor de pilas-436091-4472658,CONTENEDOR DE PILAS,436091.0-4472658.0,24 horas
100,Contenedor de pilas-436149-4472140,CONTENEDOR DE PILAS,436149.0-4472140.0,24 horas
101,Contenedor de pilas-436154-4469813,CONTENEDOR DE PILAS,436154.0-4469813.0,24 horas
102,Contenedor de pilas-436155.8125-4469276,CONTENEDOR DE PILAS,436155.8125-4469276.0,24 horas
103,Contenedor de pilas-436166-4473271,CONTENEDOR DE PILAS,436166.0-4473271.0,24 horas
104,Contenedor de pilas-436184.8125-4471024,CONTENEDOR DE PILAS,436184.8125-4471024.0,24 horas
105,Contenedor de pilas-436249.7813-4472907.5,CONTENEDOR DE PILAS,436249.7813-4472907.5,24 horas
106,Contenedor de pilas-436255-4473457,CONTENEDOR DE PILAS,436255.0-4473457.0,24 horas
107,Contenedor de pilas-436274-4471495,CONTENEDOR DE PILAS,436274.0-4471495.0,24 horas
108,Contenedor de pilas-436307-4471485,CONTENEDOR DE PILAS,436307.0-4471485.0,24 horas
109,Contenedor de pilas-436311-4468406,CONTENEDOR DE PILAS,436311.0-4468406.0,24 horas
110,Contenedor de pilas-436317-4471841,CONTENEDOR DE PILAS,436317.0-4471841.0,24 horas
111,Contenedor de pilas-436320-4473218,CONTENEDOR DE PILAS,436320.0-4473218.0,24 horas
112,Contenedor de pilas-436324-4469938,CONTENEDOR DE PILAS,436324.0-4469938.0,24 horas
113,Contenedor de pilas-436334.5625-4473188,CONTENEDOR DE PILAS,436334.5625-4473188.0,24 horas
114,Contenedor de pilas-436350-4469750,CONTENEDOR DE PILAS,436350.0-4469750.0,24 horas
115,Contenedor de pilas-436352.8125-4472163,CONTENEDOR DE PILAS,436352.8125-4472163.0,24 horas
116,Contenedor de pilas-436353-4469884,CONTENEDOR DE PILAS,436353.0-4469884.0,24 horas
117,Contenedor de pilas-436378.8438-4470019,CONTENEDOR DE PILAS,436378.8438-4470019.0,24 horas
118,Contenedor de pilas-436473.0625-4472621,CONTENEDOR DE PILAS,436473.0625-4472621.0,24 horas
119,Contenedor de pilas-436513.5938-4473043,CONTENEDOR DE PILAS,436513.5938-4473043.0,24 horas
120,Contenedor de pilas-436541.5625-4470001,CONTENEDOR DE PILAS,436541.5625-4470001.0,24 horas
121,Contenedor de pilas-436552.5938-4468668,CONTENEDOR DE PILAS,436552.5938-4468668.0,24 horas
122,Contenedor de pilas-436563.0938-4468512,CONTENEDOR DE PILAS,436563.0938-4468512.0,24 horas
123,Contenedor de pilas-436566.6875-4470457,CONTENEDOR DE PILAS,436566.6875-4470457.0,24 horas
124,Contenedor de pilas-436597.2813-4470220.5,CONTENEDOR DE PILAS,436597.2813-4470220.5,24 horas
125,Contenedor de pilas-436619.5-4473060,CONTENEDOR DE PILAS,436619.5-4473060.0,24 horas
126,Contenedor de pilas-436626-4473362,CONTENEDOR DE PILAS,436626.0-4473362.0,24 horas
127,Contenedor de pilas-436628.0313-4468487.5,CONTENEDOR DE PILAS,436628.0313-4468487.5,24 horas
128,Contenedor de pilas-436628.9375-4470689.5,CONTENEDOR DE PILAS,436628.9375-4470689.5,24 horas
129,Contenedor de pilas-436652.4375-4469654.5,CONTENEDOR DE PILAS,436652.4375-4469654.5,24 horas
130,Contenedor de pilas-436664-4472112.5,CONTENEDOR DE PILAS,436664.0-4472112.5,24 horas
131,Contenedor de pilas-436686-4469867,CONTENEDOR DE PILAS,436686.0-4469867.0,24 horas
132,Contenedor de pilas-436704.4375-4469614,CONTENEDOR DE PILAS,436704.4375-4469614.0,24 horas
133,Contenedor de pilas-436729.6563-4473107,CONTENEDOR DE PILAS,436729.6563-4473107.0,24 horas
134,Contenedor de pilas-436772-4470404,CONTENEDOR DE PILAS,436772.0-4470404.0,24 horas
135,Contenedor de pilas-436779-4472678,CONTENEDOR DE PILAS,436779.0-4472678.0,24 horas
136,Contenedor de pilas-436791-4470969,CONTENEDOR DE PILAS,436791.0-4470969.0,24 horas
137,Contenedor de pilas-436829.7813-4469620,CONTENEDOR DE PILAS,436829.7813-4469620.0,24 horas
138,Contenedor de pilas-436876.4688-4470486.5,CONTENEDOR DE PILAS,436876.4688-4470486.5,24 horas
139,Contenedor de pilas-436876-4472892,CONTENEDOR DE PILAS,436876.0-4472892.0,24 horas
140,Contenedor de pilas-436879.4375-4468773.5,CONTENEDOR DE PILAS,436879.4375-4468773.5,24 horas
141,Contenedor de pilas-436940-4471258,CONTENEDOR DE PILAS,436940.0-4471258.0,24 horas
142,Contenedor de pilas-436947-4472113,CONTENEDOR DE PILAS,436947.0-4472113.0,24 horas
143,Contenedor de pilas-436953-4471489,CONTENEDOR DE PILAS,436953.0-4471489.0,24 horas
144,Contenedor de pilas-436956-4472517,CONTENEDOR DE PILAS,436956.0-4472517.0,24 horas
145,Contenedor de pilas-437020-4468955.5,CONTENEDOR DE PILAS,437020.0-4468955.5,24 horas
146,Contenedor de pilas-437047.3125-4470253.5,CONTENEDOR DE PILAS,437047.3125-4470253.5,24 horas
147,Contenedor de pilas-437061-4470700,CONTENEDOR DE PILAS,437061.0-4470700.0,24 horas
148,Contenedor de pilas-437063.625-4471166.5,CONTENEDOR DE PILAS,437063.625-4471166.5,24 horas
149,Contenedor de pilas-437081.9063-4472743.5,CONTENEDOR DE PILAS,437081.9063-4472743.5,24 horas
150,Contenedor de pilas-437105.5-4469720.5,CONTENEDOR DE PILAS,437105.5-4469720.5,24 horas
151,Contenedor de pilas-437107-4471958,CONTENEDOR DE PILAS,437107.0-4471958.0,24 horas
152,Contenedor de pilas-437123-4473558,CONTENEDOR DE PILAS,437123.0-4473558.0,24 horas
153,Contenedor de pilas-437124-4473479,CONTENEDOR DE PILAS,437124.0-4473479.0,24 horas
154,Contenedor de pilas-437143.9063-4470371,CONTENEDOR DE PILAS,437143.9063-4470371.0,24 horas
155,Contenedor de pilas-437159-4471758,CONTENEDOR DE PILAS,437159.0-4471758.0,24 horas
156,Contenedor de pilas-437182-4469380,CONTENEDOR DE PILAS,437182.0-4469380.0,24 horas
157,Contenedor de pilas-437192.7188-4469650.5,CONTENEDOR DE PILAS,437192.7188-4469650.5,24 horas
158,Contenedor de pilas-437215.3125-4471881.5,CONTENEDOR DE PILAS,437215.3125-4471881.5,24 horas
159,Contenedor de pilas-437228.5-4469010.5,CONTENEDOR DE PILAS,437228.5-4469010.5,24 horas
160,Contenedor de pilas-437240.625-4468540.5,CONTENEDOR DE PILAS,437240.625-4468540.5,24 horas
161,Contenedor de pilas-437242.25-4471823,CONTENEDOR DE PILAS,437242.25-4471823.0,24 horas
162,Contenedor de pilas-437257-4480991,CONTENEDOR DE PILAS,437257.0-4480991.0,24 horas
163,Contenedor de pilas-437299-4472410,CONTENEDOR DE PILAS,437299.0-4472410.0,24 horas
164,Contenedor de pilas-437308.5625-4469279.5,CONTENEDOR DE PILAS,437308.5625-4469279.5,24 horas
165,Contenedor de pilas-437367.625-4470935,CONTENEDOR DE PILAS,437367.625-4470935.0,24 horas
166,Contenedor de pilas-437369-4471808,CONTENEDOR DE PILAS,437369.0-4471808.0,24 horas
167,Contenedor de pilas-437373.9375-4469978,CONTENEDOR DE PILAS,437373.9375-4469978.0,24 horas
168,Contenedor de pilas-437376-4473682,CONTENEDOR DE PILAS,437376.0-4473682.0,24 horas
169,Contenedor de pilas-437382-4469761,CONTENEDOR DE PILAS,437382.0-4469761.0,24 horas
170,Contenedor de pilas-437409-4472002,CONTENEDOR DE PILAS,437409.0-4472002.0,24 horas
171,Contenedor de pilas-437411.5-4472779,CONTENEDOR DE PILAS,437411.5-4472779.0,24 horas
172,Contenedor de pilas-437412.9375-4468746,CONTENEDOR DE PILAS,437412.9375-4468746.0,24 horas
173,Contenedor de pilas-437429.625-4469500.5,CONTENEDOR DE PILAS,437429.625-4469500.5,24 horas
174,Contenedor de pilas-437436-4469706,CONTENEDOR DE PILAS,437436.0-4469706.0,24 horas
175,Contenedor de pilas-437438.3438-4481511.5,CONTENEDOR DE PILAS,437438.3438-4481511.5,24 horas
176,Contenedor de pilas-437460-4471664,CONTENEDOR DE PILAS,437460.0-4471664.0,24 horas
177,Contenedor de pilas-437486-4470133,CONTENEDOR DE PILAS,437486.0-4470133.0,24 horas
178,Contenedor de pilas-437516-4472193,CONTENEDOR DE PILAS,437516.0-4472193.0,24 horas
179,Contenedor de pilas-437573-4473065,CONTENEDOR DE PILAS,437573.0-4473065.0,24 horas
180,Contenedor de pilas-437619-4471554,CONTENEDOR DE PILAS,437619.0-4471554.0,24 horas
181,Contenedor de pilas-437623-4471591,CONTENEDOR DE PILAS,437623.0-4471591.0,24 horas
182,Contenedor de pilas-437639-4472840,CONTENEDOR DE PILAS,437639.0-4472840.0,24 horas
183,Contenedor de pilas-437639-4473806,CONTENEDOR DE PILAS,437639.0-4473806.0,24 horas
184,Contenedor de pilas-437641.125-4471922,CONTENEDOR DE PILAS,437641.125-4471922.0,24 horas
185,Contenedor de pilas-437644.9375-4481608,CONTENEDOR DE PILAS,437644.9375-4481608.0,24 horas
186,Contenedor de pilas-437684-4472451,CONTENEDOR DE PILAS,437684.0-4472451.0,24 horas
187,Contenedor de pilas-437709-4477961,CONTENEDOR DE PILAS,437709.0-4477961.0,24 horas
188,Contenedor de pilas-437736-4469957,CONTENEDOR DE PILAS,437736.0-4469957.0,24 horas
189,Contenedor de pilas-437744.0625-4472437.5,CONTENEDOR DE PILAS,437744.0625-4472437.5,24 horas
190,Contenedor de pilas-437770-4476069,CONTENEDOR DE PILAS,437770.0-4476069.0,24 horas
191,Contenedor de pilas-437774-4470046,CONTENEDOR DE PILAS,437774.0-4470046.0,24 horas
192,Contenedor de pilas-437775-4471462,CONTENEDOR DE PILAS,437775.0-4471462.0,24 horas
193,Contenedor de pilas-437796.4375-4471158.5,CONTENEDOR DE PILAS,437796.4375-4471158.5,24 horas
194,Contenedor de pilas-437841.9375-4470943.5,CONTENEDOR DE PILAS,437841.9375-4470943.5,24 horas
195,Contenedor de pilas-437850.625-4476441,CONTENEDOR DE PILAS,437850.625-4476441.0,24 horas
196,Contenedor de pilas-437857.4063-4470792,CONTENEDOR DE PILAS,437857.4063-4470792.0,24 horas
197,Contenedor de pilas-437874-4470253,CONTENEDOR DE PILAS,437874.0-4470253.0,24 horas
198,Contenedor de pilas-437876.6875-4470233.5,CONTENEDOR DE PILAS,437876.6875-4470233.5,24 horas
199,Contenedor de pilas-437904.6875-4476264,CONTENEDOR DE PILAS,437904.6875-4476264.0,24 horas
200,Contenedor de pilas-437907-4481745,CONTENEDOR DE PILAS,437907.0-4481745.0,24 horas
201,Contenedor de pilas-437908.9063-4469696.5,CONTENEDOR DE PILAS,437908.9063-4469696.5,24 horas
202,Contenedor de pilas-437908.9688-4473227,CONTENEDOR DE PILAS,437908.9688-4473227.0,24 horas
203,Contenedor de pilas-437931-4470129,CONTENEDOR DE PILAS,437931.0-4470129.0,24 horas
204,Contenedor de pilas-437954-4473187,CONTENEDOR DE PILAS,437954.0-4473187.0,24 horas
205,Contenedor de pilas-437969.5313-4469892,CONTENEDOR DE PILAS,437969.5313-4469892.0,24 horas
206,Contenedor de pilas-437981-4481121,CONTENEDOR DE PILAS,437981.0-4481121.0,24 horas
207,Contenedor de pilas-437987.6875-4473971.5,CONTENEDOR DE PILAS,437987.6875-4473971.5,24 horas
208,Contenedor de pilas-437992.0313-4481675.5,CONTENEDOR DE PILAS,437992.0313-4481675.5,24 horas
209,Contenedor de pilas-437999.7813-4470447,CONTENEDOR DE PILAS,437999.7813-4470447.0,24 horas
210,Contenedor de pilas-438001-4471915,CONTENEDOR DE PILAS,438001.0-4471915.0,24 horas
